Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00773-2024,UNIVERSITY HOMESTAY,Bukidnon,Maramag,"Barangay Dologon, CMU Musuan, Maramag",0917 888 7668,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00868-2024,LUGAR MOUNTAIN ESCAPE,Bukidnon,Kitaotao,"Sitio Bacayan, Brgy. Sinuda (Simod)",0917 703 6200,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00869-2024,EL CINCO INLAND RESORT INC.,Bukidnon,Kitaotao,"Purok 5, Brgy. Sinuda (Simod)",0966 074 0042,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00106-2021,LANZONES CABANA INC,Camiguin,Mambajao,"Dal-as Street, Barangay Agoho, Mambajao, Caniguin",9165269663,http://www.lanzonescabana.com,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00239-2022,AGOHO RESORT,Camiguin,Mambajao,"Brgy. Agoho, Mambajao, Camiguin",0965 718 5878,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00272-2022,M AND J HOMESTAY,Camiguin,Mambajao,LOOC MAGTING,0929 818 5666,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00296-2022,DUMINIKAW VIBES RESORT,Camiguin,Sagay,"Barangay Manuyog, Sagay, Camiguin",0906 033 4108,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00322-2022,PROJECT VOLCAN CAMIGUIN INC,Camiguin,Mambajao,"Baring, Barangay Naasag",088 889 0014,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00323-2022,VILLA CORRALES HOMESTAY,Camiguin,Mambajao,"Purok 3, Barangay Magting",0967 877 1424,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00404-2023,CAMIGUIN LANZONES RESORT,Camiguin,Mambajao,"BALBAGON, MAMBAJAO CAMIGUIN",9264727770,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00430-2023,CAMIGUIN HIGLANDS CORP.,Camiguin,Mambajao,"Orasan , Soro - soro , Mambajao Camiguin",0917 827 0200,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00728-2024,KINGHORN GARDEN HOUSE RESORT,Camiguin,Mambajao,"Dal-as Street, Barangay Agoho, Mambajao, Caniguin",0965 997 8319,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00729-2024,MABINI HOTEL,Camiguin,Mambajao,"Mabini Street, Poblacion, Mambajao, Camiguin",0929 371 1057,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00778-2024,SEASCAPE BEACH RESORT,Camiguin,Mambajao,"Barangay Yumbing, Mambajao, Camiguin",0945 990 3039,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00782-2024,MYRNA'S BAMBOO COTTAGES,Camiguin,Mambajao,"Bug-Ong, Mambajao, Camiguin",0915 726 5366,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00807-2024,PABUA'S COTTAGES / EMMA PABUA'S COTTAGES,Camiguin,Mambajao,"Rocky Village, Yumbing Mambajao Camiguin",0917 702 3010,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00837-2024,TONGATOK CLIFF RESORT,Camiguin,Mambajao,"Baring, Brgy. Naasag, Mambajao, Camiguin",0920 959 4595,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00976-2025,PAGUIA'S COTTAGES,Camiguin,Yumbing,"Purok 1A, Rocky Village, Brgy. Yumbing, Mambajao, Camiguin",0938 692 2348,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00978-2025,ALABA HOUSE RENTAL,Camiguin,Mambajao,"Anito, Mambajao, Camiguin",0948 219 2194,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00979-2025,LUCKY777 HOMESTAY,Camiguin,Mambajao,"Purok 1, Anito, Mambajao",0938 131 9170,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00982-2025,GUERRERA VILLA & RESTAURANT,Camiguin,Yumbing,"Pearl Street, Rocky Village",0970 444 1477,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00984-2025,HAVENDEWLL RESORT,Camiguin,Mambajao,"Barangay Yumbing, Mambajao, Camiguin",0975 217 0943,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00987-2025,DUPLEX HAVEN HOUSE,Camiguin,Mambajao,"Brgy. Baylao, Mambajao, Camiguin",0965 172 6139,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00992-2025,BORBON'S TREE-HOUSE BEACH HOUSE,Camiguin,Mambajao,"BolocBoloc, Brgy. Poblacion, Mambajao, Camiguin",0917 577 5333,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00993-2025,HIDDEN SUITES,Camiguin,Mambajao,"Barangay Yumbing, Mambajao, Camiguin",0917 521 9391,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00998-2025,HAVENDEWLL RESORT,Camiguin,Mambajao,"Rizal St., Brgy. Poblacion, Mambajao, Camiguin",0975 217 0943,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00999-2025,BINTANA SA PARAISO CORP.,Camiguin,Mambajao,"Binunsaran, Brgy. Poblacion, Mambajao, Camiguin",0997 068 3570,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01004-2025,RUBILLA'S HOMESTAY,Camiguin,Mambajao,"Purok 1, Barangay Anito, Mambajao, Camiguin",0935 456 1078 / 0951 461 5981,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01005-2025,HIDDEN TOURIST INN,Camiguin,Mambajao,"Barangay Magting, Mambajao, Camiguin",0961 188 5839,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01008-2025,MYRNA'S HOMESTAY,Camiguin,Mambajao,"Rocky Village, Yumbing Mambajao Camiguin",0995 168 5056,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01009-2025,BUNGALOW GUEST HOUSE,Camiguin,Mambajao,"Abu Baylao, Barangay Baylao, Mambajao, Camiguin",0997 884 1416,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01010-2025,QUARTZ SUITES,Camiguin,Mambajao,"Quartz Street, Rocky Village, Mambajao, Camiguin",0936 230 5106,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01011-2025,SJ PABUA TRAVELLER'S INN,Camiguin,Mambajao,"Banlas Barangay Agoho, Mambajao, Camiguin",0920 232 8573,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01012-2025,BOHOLANOS TRAVELLER'S INN,Camiguin,Mambajao,"Barangay Yumbing, Mambajao, Camiguin",0926 567 5242,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01014-2025,TRAVELLERS INN THE - SAN MIGUEL,Camiguin,Mambajao,"Rocky Village, Yumbing, Mambajao, Camiguin",0936 087 9907,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01016-2025,TABADA TRAVELLER'S INN,Camiguin,Mambajao,"Brgy. Yumbing, Mambajao, Camiguin",0936 943 9578,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01017-2025,SUN HOUSE RENTAL,Camiguin,Mambajao,"Abu Baylao, Barangay Baylao, Mambajao, Camiguin",0915 293 0342,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01019-2025,OCHAVILLO TRAVELLERS HOME,Camiguin,Mambajao,"Dela Paz Yumbing, Mambajao, Camiguin",0945 280 5154,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01021-2025,SHEY'S TRAVELLERS INN,Camiguin,Mambajao,"Brgy. Magting, Mambajao, Camiguin",0921 459 8201,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01022-2025,VEANCE TRAVELLERS INN,Camiguin,Mambajao,"Brgy. Yumbing, Mambajao, Camiguin",0917 321 0449,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01026-2025,CAMIGUIN NYPA STYLE RESORT,Camiguin,Mambajao,"Purok 4, Brgy. Bug-Ong, Mambajao, Camiguin",0995 458 7655,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01032-2025,RGR CAMIGUIN PENSION HOUSE,Camiguin,Mambajao,"Kabuhi, Brgy. Pandan, Mambajao, Camiguin",0995 239 2598,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01046-2025,NADHIBAR RESORT AND TRAVEL AND TOURS,Camiguin,Mambajao,"Barangay Tupsan, Mambajao, Camiguin",0962 652 3903,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01050-2025,ROSE INN,Camiguin,Mambajao,"Barangay Baylao, Mambajao, Camigiun",0963 393 8534,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01051-2025,RANARA'S HOMESTAY,Camiguin,Mambajao,"Balintawak, Poblacion, Mambajao, Camiguin",0936 726 7624,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01073-2025,LA-ESTELLA TRANSIENT INN,Camiguin,Mambajao,"Brgy. Anito, Mambajao, Camiguin",0916 550 3743,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00788-2024,SEASIDE TRAVELLER'S INN,Camiguin,Catarman,"Barangay Tangaro, Catarman, Camiguin",0999 150 1026,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00814-2024,D&A SEASIDE COTTAGES,Camiguin,Catarman,"Purok 4, Lawigan, Catarman, Camiguin",0918 993 1216,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00291-2022,KINGSWAY ILIGAN HOTEL,Lanao del Norte,Iligan City,"Andres Bonifacio Avenue, Brgy. Saray-Tibanga",0915 713 3862,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00307-2022,FORTUNE SUITE,Lanao del Norte,Iligan City,"LOT 12 BLOCK 10 PUROK 9 SAN MIGUEL, BRGY. PALAO, ILIGAN CITY",9171173021,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00464-2023,HOMESTAY ILIHAN,Lanao del Norte,Iligan City,"New Frontier Court, Waling-waling St, Brgy. Santiago, Iligan city, Lanao Del Norte, Mindanao",0917 636 3774,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00088-2021,STAYLITE SUITES,Lanao del Norte,Iligan City,"Champaca St., Brgy. Palao, Iligan City",0 (63) 228-0467,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00476-2023,Woodland suites,Lanao del Norte,Iligan City,woodland suites roxas avenue brgy poblacion,0945 492 5609,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00123-2021,LANAO MONLAN CORPORATION / MONLAN SUITES,Lanao del Norte,Iligan City,"Corner Vicente Sheker Ave., Brgy. San Miguel, Iligan City",0917 773 5313,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00431-2023,ESTREGAN BEACH RESORT,Lanao del Norte,Sultan Naga Dimaporo,"Purok, Brgy. Pilwag, Sultan Naga Dimaporo, Lanao del Norte",9176521591,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00196-2022,BAROY TOWN HOTEL,Lanao del Norte,Baroy,"Purok 5, Brgy. Bagong Dawis",0935 384 2939,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01025-2025,ANC HOTEL,Lanao del Norte,Kapatagan,"2F ANC Building, National Highway, Brgy. Poblacion",0995 651 6795,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01027-2025,HORIZONS RESORT & SPLASHWAY WATER PARK,Lanao del Norte,Baroy,"Purok 2, Brgy. Bagong Dawis",0916 773 7056,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00001-2023(M),COCOSMARINE RESORT HOTELS,Misamis Occidental,Clarin,"Poblacion 1, Clarin, Misamis Occidental",,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00298-2022,QSC TRAVEL SERVICES AGENCY INC. / QUALITY BEACH RESORT,Misamis Occidental,Clarin,BRGY. LUPAGAN CLARIN MISAMIS OCCIDENTAL,0933 852 2975,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00402-2023,RA7 MEDINA WATERS BEACH RESORT,Misamis Occidental,Clarin,"POBLACION 1, CLARIN, MISAMIS OCCIDENTAL",639055449051,https://www.facebook.com/RA7MEDINA/,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00823-2024,VILLA LORENCITA BRACH REOSRT,Misamis Occidental,Clarin,"PUROK 6, BRGY. LUPAGAN, CLARIN, MISAMIS OCCIDENTAL",0910 636 3502,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00910-2024,THE SEASIDE,Misamis Occidental,Clarin,"Brgy. Mialen, Clarin",0919 078 1108 0939 938 8747,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00958-2025,KAHAKAI RESORT,Misamis Occidental,Aloran,"Purok 4, Brgy. Conat, Aloran",0970 875 1819,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01002-2025,LA ELENA CORP. (LA ELENA PENSION HOUSE RENTAL),Misamis Occidental,Jimenez,"Purok 4, Butuay",0909 472 6517,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00116-2021,ALONA'S DREAMLAND BEACH RESORT,Misamis Occidental,Jimenez,"Barangay Tabo-o, Jimenez",0963 057 5061,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00914-2021,SHEENA'S HOTEL,Misamis Occidental,Oroquieta City,"Corner Marapao & Enerio Street,Layawan, Oroquieta City",0948 849 9570,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00031-2021,GS AND S REALTY CORPORATION,Misamis Occidental,Ozamis City,"P-5, LAM-AN, OZAMIZ CITY",9985894130,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00104-2021,GV HOTEL OZAMIZ / VISMIN GV HOTEL INZ,Misamis Occidental,Ozamis City,JR Rizal Avenue (Accorss Gaisano Mall),0917 632 1365,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00419-2023,MMC HOSTEL,Misamis Oriental,Balingoan,"TALISAY STREET,BAUK-BAUK, BALINGOAN MIS. OR.",9171040757,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00005-2023(M),VILLA LAVINA BY THE PURPLE TEE CORP.,Misamis Oriental,Cagayan de Oro City,"Barangay 31, Cagayan de Oro City",,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00435-2023,ALMING GUEST HOUSE,Misamis Oriental,Cagayan de Oro City,"PEDRO MABULAY ST, CDO MISAMIS ORIENTAL",9756597303,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00363-2023,AMAREA TRAVEL LODGE,Misamis Oriental,Cagayan de Oro City,AGUINALDO ST. BRGY. 32,9171681198,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00386-2023,B. HOSTEL,Misamis Oriental,Cagayan de Oro City,"Captain Vicente Roa St., Barangay 33, Cagayan de Oro City",9224744733,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00310-2022,BRIDGE HOTEL,Misamis Oriental,Cagayan de Oro City,3RD & 4TH FLR. DE LEON BLDG. PABAYO-CRUZ STREETS,0936 732 9081,https://www.bridgehotelph.com,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00916-2024,BRIDGE HOTEL EXPRESS,Misamis Oriental,Cagayan de Oro City,"PABAYO-CHAVEZ STREETS, CAGAYAN DE ORO CITY",0967 962 2765,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00949-2025,LAPAS SUN PENSION HOUSE,Misamis Oriental,Cagayan de Oro City,"Sitio Lambago, Barangay Lapasan",0945 217 7525,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00961-2025,GGALYX INN HOTEL,Misamis Oriental,Cagayan de Oro City,"Brgy. 33, Captain Vicente Roa Street",0905 433 627,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00967-2025,STAY CDO INN,Misamis Oriental,Cagayan de Oro City,"2nd Floor, Echem Bldg., Osmena St., Barangay 24",0905 762 3146,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00986-2025,FB DORMITEL SUITES,Misamis Oriental,Cagayan de Oro City,"17th Street, Brgy. Nazareth",0965 100 5387,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00997-2025,BENROSE HOTEL,Misamis Oriental,Cagayan de Oro City,476 Tiano Bro's Street. Barangay 5 (Pob.),0967 028 5191,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01023-2025,MONTECARLO REALTY AND DEVELOPMENT CORP.,Misamis Oriental,Cagayan de Oro City,"Corrales Extension, Barangay 25",0917 549 1749,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01029-2025,THE UPPERHOUSE HOTEL,Misamis Oriental,Cagayan de Oro City,"Velez-Fernandez St., Barangay 1 (Pob.), Cagayan de Oro City",0917 864 4099,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01063-2025,1001 NIGHTS CDO CORPORATION,Misamis Oriental,Cagayan de Oro City,"14 Sgt. Angelo Velez St., Mabulay Subdivision, Brgy. 27, Cagayan de Oro City",0997 837 9089,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00341-2022,CASA MARGA,Misamis Oriental,Cagayan de Oro City,"4th Flr, Casa Marga, 15-26 Sts., Barangay Nazareth, Cagayan de Oro City",0917 702 7756,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00425-2023,CT PROPER INN,Misamis Oriental,Cagayan de Oro City,"#2 Lt. Guillermo Street, Cagayan de Oro City",0917 708 1111,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00349-2023,DOWNTOWN SUITES,Misamis Oriental,Cagayan de Oro City,"Zone 3, Corrales Extension, Cagayan de Oro City",0936 822 5008,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00180-2022,EL REVA SUITES,Misamis Oriental,Cagayan de Oro City,"296 Corrales Extension, Brgy. 21, Cagayan de Oro City",0915-315-5274/ 09777528729,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00269-2022,LYL / MOUNTAIN SUITE BUSINESS APARTELLE,Misamis Oriental,Cagayan de Oro City,"Kimwa Compound, Baloy, Brgy. Tablon, Cagayan de Oro City",(088) 852 5112,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00413-2023,FLOR-AL MANSION,Misamis Oriental,Cagayan de Oro City,"Barangay 22, Corrales Extension, Cagayan de Oro City",0975 659 7303,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00375-2023,GC SUITES,Misamis Oriental,Cagayan de Oro City,"4th Floor Grand Central Bldg. Pabayo-Hayes Street, Cagayan de Oro City",0917 727 1234,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00928-2024,GOLDEN PENSION HOUSE,Misamis Oriental,Cagayan de Oro City,Lot1 Block 13 Golden Glow North Pueblo de Oro Upper Carmen,0905 777 2752,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00988-2025,Q SEVEN ROYALE HOTEL,Misamis Oriental,Cagayan de Oro City,"Q7 Compound, National Highway, Kauswagan, Cagayan de Oro City",0936 652 7009,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01045-2025,PRAWN HOUSE SUITE AND RESTAURANT,Misamis Oriental,Cagayan de Oro City,"Golden Glow Village, Upper Carmen, Cagayan de Oro City",0917 169 5151,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01058-2025,BALAY NI TATAY & NANAY (PHILIPPINES) INC.,Misamis Oriental,Cagayan de Oro City,"District 2, Brgy. Canitoan, Cagayan de Oro City",0917 154 1477,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00359-2023,HOTEL 8O1 INC,Misamis Oriental,Cagayan de Oro City,"Capistrano-Kalambaguhan Street, Brgy. 13, Cagayan de Oro City",0936 300 7688,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00292-2022,IVORY PENSION HOUSE,Misamis Oriental,Cagayan de Oro City,"259 Osmeña Street, Brgy. 31",0927 140 2656,Http://www.ivorypensionhouse.com,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00385-2023,Leope Grand Hotel Inc.,Misamis Oriental,Cagayan de Oro City,"Barangay 25, Claro M. Recto Avenue",0997 621 6722,https://leopehotelcebu.com,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00329-2022,MIAMI INN,Misamis Oriental,Cagayan de Oro City,"Vamenta Blvd. Carmen, Cagayan de Oro City",0916 762 2852,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00061-2023(M),KINGSFIELD EXPRESS INN,Misamis Oriental,Cagayan de Oro City,"Tejero Street, Brgy. Kauswagan, Cagayan de Oro City",0956 776 3995,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00179-2022,JOHN MICHELLE HOLDINGS CORPORATION,Misamis Oriental,Cagayan de Oro City,"Fr. Masterson Ave., Brgy. Balulang",0975 587 9430 (088) 858 3854,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00757-2024,PLUMBLINE DEVELOPMENT CORPORATION / UPTOWN CONDOTEL,Misamis Oriental,Cagayan de Oro City,"Fr. Masterson Ave., Xavier Estates, Brgy. Balulang, Cagayan de Oro City",0917 326 1800,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00772-2024,VYM BOUTIQUE HOTEL,Misamis Oriental,Cagayan de Oro City,"Block 70, Lot 7, Xavier Estates, Upper Balulang, Cagayan de Oro City",0917 107 6510 / 0917 109 7698,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00797-2024,VICON-G GRAND CORPORATION / RICH MANOR PENSION HOUSE,Misamis Oriental,Cagayan de Oro City,"Brgy. 29, Corrales Avenue, Cagayan de Oro City",0927 466 9846,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00922-2024,VHM RESOURCES INC. - HIGHTIME DRIVE-INN HOTEL,Misamis Oriental,Cagayan de Oro City,"Tejero Subd. Patag-Kauswagan Highway, Brgy. Kauswagan",0917 677 1947,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00038-2021,MARIANNE SUITES HOTEL INC.,Misamis Oriental,Cagayan de Oro City,"Tiano Luan St., Brgy. 19, Cagayan de Oro City",0917 577 6194,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00107-2021,"EMERALD SUITES CDO, INC.",Misamis Oriental,Cagayan de Oro City,"Jose Agudo Street, Brgy. 14, Cagayan de Oro City",0945 855 2699,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00108-2021,OLIVE SUITES,Misamis Oriental,Cagayan de Oro City,"Mabini Velez St., Brgy. 14(Pob.), Cagayan de Oro City",0917 675 5346,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00109-2021,"TRAVELERS POD - ALFRA VENTURES GROUP, INC.",Misamis Oriental,Cagayan de Oro City,"Limketkai Gateway Tower, Ground Floor , Lapasan",(088) 882 3176,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00786-2024,ST. NICOLAS INN,Misamis Oriental,Cagayan de Oro City,"Guillermo-Hayes Sts. Brgy. Nazareth, Cagayan de Oro City",0917 304 7721,,"October 31, 2026"
Region10,Mabuhay Accommodation,DOT-R10-MAB-00794-2024,MAREL REALY AND DEVELOPMENT CORP. / CASA AZUCENA,Misamis Oriental,Cagayan de Oro City,"Pabayo-Gaerlan St., Marfori Compound",0916 434 4911,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00140-2021,WINMIN TRANSIENT INN,Misamis Oriental,Cagayan de Oro City,"New Agora Complex, Lapasan, Cagayan de Oro City",0906 966 6787,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00150-2022,GV HOTEL CAGAYAN DE ORO,Misamis Oriental,Cagayan de Oro City,"Barangay 22, POB. (Beside Capitol University) Cagayan de Oro City",0917 632 1420,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00163-2022,NEW ESTRELLA TOWNHOUSE,Misamis Oriental,Cagayan de Oro City,"Julio Pacana ST., Licoan, Barangay 25",0977 752 8729,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00131-2021(M),MIDDLETON APARTELLE,Misamis Oriental,Cagayan de Oro City,"Lirio Extention, Carmen, Cagayan de Oro City",9175519710,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00374-2023,MINDANAO COOPERATIVE HOSTEL SERVICES,Misamis Oriental,Cagayan de Oro City,G/F MASS SPECC BLDG.TIANO PACANA STREET. CAG.DE ORO CITY,9169021350,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00332-2022,NATURES PENSION HOUSE,Misamis Oriental,Cagayan de Oro City,A. VELEZ R.N ABEJUELA STS. BARANGAY 5,0.916 296 7567,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00360-2023,NEWDAWN HOTEL PLUS,Misamis Oriental,Cagayan de Oro City,MAKAHAMBUS VELEZ ST. BARANGAY 14,9756410288,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00358-2023,NEWDAWN PENSIONNE,Misamis Oriental,Cagayan de Oro City,MAKAHAMBUS VELEZ ST. BARANGAY 14,9275168493,https://www.grandcityhotel.com/,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00455-2023,PREAMS1 SUITES,Misamis Oriental,Cagayan de Oro City,"Claro M. Recto Avenue, beside Magnum Radio Station",09164859658; 09177167217,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00432-2023,"SINULOM FALLS AGRO/ECOTOURISM PARK & ADVENTURE RESORT, INC.",Misamis Oriental,Cagayan de Oro City,Impakibil Tignapoloan Cagayan de Oro City,9177224999,,"October 31, 2025"
