Region,Enterprise Type,Enterprise Name,Accreditation No,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 5,Mabuhay Accommodation,Ardente de Legazpi Inn,DOT-R05-MAB-00553-2022,Albay,Legazpi City,"Santol Street, Pag-asa, Brgy. 42 - Rawis, Legazpi City, Albay",9564185701,,31-Oct-26
Region 5,Mabuhay Accommodation,Ashville Guest House,DOT-R05-MAB-01140-2023,Albay,Tabaco City,"P-1 Baranghawon, Tabaco City, Albay",9369851347,,31-Oct-25
Region 5,Mabuhay Accommodation,"Asia Novo Boutique Hotel, Inc. (Daet)",DOT-R05-MAB-01657-2024,Camarines Norte,Daet,"Pineapple Street, Bagasbas Road, Daet, Camarines Norte",9369116271,,31-Oct-26
Region 5,Mabuhay Accommodation,"Asia Novo Boutique Hotel, Inc. (Masbate City)",DOT-R05-MAB-00773-2022,Masbate,Masbate City,"Quezon St., Brgy. Centro, Masbate City, Masbate",565780687,,31-Oct-26
Region 5,Mabuhay Accommodation,"Asia Novo Boutique Hotel, Inc. (Sorsogon City)",DOT-R05-MAB-01706-2024,Sorsogon,Sorsogon City,"Burgos St., Brgy. Talisay, Sorsogon City, Sorsogon",9163491077,,31-Oct-26
Region 5,Mabuhay Accommodation,Asog County Hotel,DOT-R05-MAB-00241-2021,Camarines Sur,Iriga City,"Zone 5 Hi-way, Brgy. San Isidro, Iriga City, Camarines Sur",9126715914,,31-Oct-26
Region 5,Mabuhay Accommodation,ATW Land Corporation - Neuhaus Inn,DOT-R05-MAB-00558-2022,Albay,Daraga,"Magayon Drive, Maroroy, Daraga, Albay",09189883388 / 4837288,,31-Oct-26
Region 5,Mabuhay Accommodation,Aurelle Inn,DOT-R05-MAB-01125-2023,Albay,Legazpi City,"Lot 26 Blk3 Juan Estevez St., Gueverra Subd., Brgy. 18 - Cabangan West (Pob), Legazpi City, Albay",9989825926,,31-Oct-26
Region 5,Mabuhay Accommodation,Avila's Island Resort,DOT-R05-MAB-01402-2024,Masbate,Pio V. Corpuz,"Casabangan, Pio V. Corpus, Masbate",9551508383,,31-Oct-26
Region 5,Mabuhay Accommodation,Balay Talisay,DOT-R05-MAB-01465-2024,Sorsogon,Sorsogon City,"157 J. Reyes Street, Talisay, Sorsogon City, Sorsogon",9985306291 / 09674898188,,31-Oct-26
Region 5,Mabuhay Accommodation,Bali Suites,DOT-R05-MAB-01790-2025,Albay,Legazpi City,"Purok 5 Marquez St., Brgy. 15-Ilawod East Pob. Legazpi City, Albay",9672482268,,31-Oct-26
Region 5,Mabuhay Accommodation,Baywalk Garden Pension House,DOT-R05-MAB-01836-2025,Mabate,Masbate City,"Brgy. Ibingay, Masbate City, Masbate",996829707,,31-Oct-25
Region 5,Mabuhay Accommodation,Beach Hive Resort,DOT-R05-MAB-01414-2024,Camarines Sur,Balatan,"Zone 4, Coguit, Balaran, Camarines Sur",90894993386,,31-Oct-26
Region 5,Mabuhay Accommodation,Beata Beach Resort OPC,DOT-R05-MAB-01410-2024,Sorsogon,Santa Magdalena,"Brgy. San Sebastian, Sta. Magdalena, Sorsogon",9175098326,,31-Oct-26
Region 5,Mabuhay Accommodation,Benlitzr Inn,DOT-R05-MAB-01775-2024,Camarines Norte,Daet,"Purok 1 Lag-on, Daet, Camarines Norte",9488731714,,31-Oct-25
Region 5,Mabuhay Accommodation,Bienvenida Hotel and Resort,DOT-R05-MAB-00835-2022,Albay,Santo Domingo,"Purok 4 San Juan, Santo Domingo, Albay",9776193296,,31-Oct-26
Region 5,Mabuhay Accommodation,Bloom's Beach Resort,DOT-R05-MAB-00250-2021,Albay,Ligao City,"Purok 2, Maonon, Ligao City, Albay",9175066249,,31-Oct-26
Region 5,Mabuhay Accommodation,Bocala Beach Resort,DOT-R05-MAB-01835-2025,Masbate,Balud,"Palane, Balud, Masbate",9776716154,,31-Oct-25
Region 5,Mabuhay Accommodation,Borcel Nature Spring,DOT-R05-MAB-01781-2025,Albay,Tabaco City,"Z-5 Mariroc, Tabaco City, Albay",9189187684,,31-Oct-26
Region 5,Mabuhay Accommodation,BRPJR Mini Lodge,DOT-R05-MAB-00157-2021,Camarines Sur,Naga City,"Rosal Street, Queborac Drive, Bagumbayan Sur, Naga City, Camarines Sur",9615888202,,31-Oct-26
Region 5,Mabuhay Accommodation,Bulusan Tourist Inn,DOT-R05-MAB-00032-2020,Sorsogon,Bulusan,"4/F, Eme Bldg., Brgy. Central (Pob.), Bulusan, Sorsogon",9683544818,,31-Oct-26
Region 5,Mabuhay Accommodation,Calaguas White Sand Resort,DOT-R05-MAB-00857-2022,Camarines Norte,Vinzons,"Brgy. Mangcawayan Island, Vinzons, Camarines Norte",9175131207,,31-Oct-26
Region 5,Mabuhay Accommodation,Captain's Suites,DOT-R05-MAB-00623-2022,Albay,Ligao City,"Purok 5, Paulog Ligao City",9988645950,,31-Oct-26
Region 5,Mabuhay Accommodation,Carangyan Beach Resort,DOT-R05-MAB-00183-2021,Catanduanes,Pandan,"Brgy. Oga, Pandan, Catanduanes",9994216563,,31-Oct-26
Region 5,Mabuhay Accommodation,Casa Bicolandia Suites,DOT-R05-MAB-00109-2021,Albay,Daraga,"#10 Malvar St., Brgy. Kimantong, Daraga, Albay",9770534095,,31-Oct-26
Region 5,Mabuhay Accommodation,Casa De Apil Private Resort,DOT-R05-MAB-01091-2023,Sorsogon,Irosin,"Purok 2, Maharlika Highway, Brgy. Monbon, Irosin, Sorsogon",9156162919,,31-Oct-25
Region 5,Mabuhay Accommodation,Casa Remedios,DOT-R05-MAB-00027-2020,Catanduanes,Virac,"2nd St. San Isidro Village, Virac, Catanduanes",9171661350,,31-Oct-26
Region 5,Mabuhay Accommodation,Casa Roces,DOT-R05-MAB-01573-2024,Albay,Legazpi City,"#15 Sikatuna St., Old Albay, Brgy. 14-Ilawod Pob., Legazpi City, Albay",527423515,,31-Oct-26
Region 5,Mabuhay Accommodation,Casa Simeon I Inc,DOT-R05-MAB-00013-2020,Albay,Bacacay,"1 Bes St., Brgy. 13 Poblacion, Bacacay, Albay",9178820660,,31-Oct-26
Region 5,Mabuhay Accommodation,Casanayon Resort,DOT-R05-MAB-00214-2021,Camarines Norte,Labo,"Purok 5, Bagong Silang I, Labo, Camarines Norte",9171094898,,31-Oct-26
Region 5,Mabuhay Accommodation,Catanduanes Midtown Inn,DOT-R05-MAB-01793-2025,Catanduanes,Virac,"San Jose St., Virac, Catanduanes",9508852255,,31-Oct-26
Region 5,Mabuhay Accommodation,Clubnoah Eco Resort,DOT-R05-MAB-00855-2022,Camarines Norte,San Lorenzo Ruiz,"Brgy. Mampurog, San Lorenzo Ruiz, Camrines Norte",9394355991,,31-Oct-25
Region 5,Mabuhay Accommodation,Copacavana Tourist Inn,DOT-R05-MAB-00524-2022,Camarines Sur,Caramoan,"Paniman, Caramoan, Camarines Sur",09953717128 / 09491675249,,31-Oct-26
Region 5,Mabuhay Accommodation,Daraga Tourist Inn,DOT-R05-MAB-01683-2024,Albay,Daraga,"3rd floor, Doña Maria bldg., Lakandula Drive, Tagas, Daraga Albay",9152163705,,31-Oct-26
Region 5,Mabuhay Accommodation,David Hometel,DOT-R05-MAB-00706-2022,Albay,Ligao City,"Guilid, Ligao City, Albay",9651677619,,31-Oct-25
Region 5,Mabuhay Accommodation,Dhio Endheka Spring Resort,DOT-R05-MAB-00753-2022,Albay,Tabaco City,"Purok 2, Crossing Mayon, Brgy. Buang, Tabaco City, Albay",09178535514 / 09178564002,,31-Oct-25
Region 5,Mabuhay Accommodation,Dineros Hometel,DOT-R05-MAB-01882-2025,Sorsogon,Sorsogon City,"Alegre St. Balogo, Sorsogon City, Sorsogon",9184102514,,31-Oct-25
Region 5,Mabuhay Accommodation,Dreamink Farm OG Myl's Place,DOT-R05-MAB-00861-2022,Sorsogon,Sorsogon City,"Purok 6, Brgy. Penafrancia, Sorsogon City, Sorsogon",9488940406,,31-Oct-26
Region 5,Mabuhay Accommodation,Dreamwave Beach Resort Inc.,DOT-R05-MAB-01703-2024,Albay,Polangui,"Diversion Rd., Brgy. Ubaliw, Polangui, Albay",9957780821,,31-Oct-26
Region 5,Mabuhay Accommodation,Elysia Beach Resort,DOT-R05-MAB-00028-2020,Sorsogon,Donsol,"Pio Duran Road, Pangpang, Donsol, Sorsogon",9175474466,,31-Oct-26
Region 5,Mabuhay Accommodation,Emmalyn's Paradise Resort,DOT-R05-MAB-01771-2024,Catanduanes,San Andres,"#8 Purok 5, San Rafael St., Agojo, San Andres, Catanduanes",9857880105,,31-Oct-26
Region 5,Mabuhay Accommodation,ERS Mekeni Homes,DOT-R05-MAB-00224-2021,Camarines Sur,Caramoan,"Zone 3 Paniman, Caramoan, Camarines Sur",9484601713,,31-Oct-25
Region 5,Mabuhay Accommodation,Facade Hotel,DOT-R05-MAB-00382-2021,Albay,Tabaco City,"A.A Berces St., Brgy. San Juan , Tabaco City, Albay",9154166604,,31-Oct-26
Region 5,Mabuhay Accommodation,Fernandos Hotel,DOT-R05-MAB-00830-2022,Sorsogon,Sorsogon City,"N. Pareja Stree., Brgy. Bitan-o, Sorsogon City, Sorsogon",09284124520/09176384522/0562250833,,31-Oct-26
Region 5,Mabuhay Accommodation,FG STARDUST RESORT,DOT-R05-MAB-01665-2024,Sorsogon,Matnog,Sta Isabel Matnog Sorsogon,9458520230,,31-Oct-26
Region 5,Mabuhay Accommodation,FJ Manila Hotel,DOT-R05-MAB-00907-2022,Albay,Daraga,"Maharlika Highway, San Roque, Daraga, Albay",9778324919,,31-Oct-25
Region 5,Mabuhay Accommodation,Fritz Homestay,DOT-R05-MAB-01876-2025,Sorsogon,Sorsogon City,"507 blk 21 Executive Village, Sorsogon City, Sorsogon",9088892756,,31-Oct-26
Region 5,Mabuhay Accommodation,GMJ Guest House,DOT-R05-MAB-00198-2021,Camarines Sur,Naga City,"San Ramon St., Calauag, Naga City, Camarines Sur",9683260540,,31-Oct-25
Region 5,Mabuhay Accommodation,Gubat St. Anthony Cooperative Hotel,DOT-R05-MAB-00898-2022,Sorsogon,Gubat,"GSAC New Building, Luna-Candol, Gubat, Sorsogon",9278432810,,31-Oct-26
Region 5,Mabuhay Accommodation,Hamapayo Pension House,DOT-R05-MAB-01424-2024,Catanduanes,Virac,"Real St., Calatagan Proper, Virac, Catanduanes",9674277627,,31-Oct-26
Region 5,Mabuhay Accommodation,HCG Hotel Formerly HCG Residence Mansion,DOT-R05-MAB-00014-2020,Albay,Tabaco City,"HCG Building, Ziga Avenue, Tabaco City, Albay",9951238217,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Bienvenido,DOT-R05-MAB-01074-2023,Camarines Norte,Jose Panganiban,"Roy Padilla Sr. Blvd., Brgy. South Poblacion, Camarines Norte",9178987611,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Formosa,DOT-R05-MAB-00712-2022,Camarines Norte,Daet,"Hotel Formosa, Vinzons Avenue, Brgy. Lag-on, Daet, Camarines Norte",(054)571-3566,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Herencia 625 (ZA Property Management Inc.),DOT-R05-MAB-01425-2024,Albay,Daraga,"Lakandula Drive, Banag, Daraga, Albay",9955310924,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Liatris,DOT-R05-MAB-01765-2024,Albay,Legazpi City,"Brgy. 25 Lapu-Lapu, Legazpi City",9054837400,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Lucca,DOT-R05-MAB-01427-2024,Albay,Legazpi City,"Jasmin St., Brgy. 23 - Imperial Court Subd., Legazpi City, Albay",639459601336,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Sogo Naga,DOT-R05-MAB-01552-2024,Camarines Sur,Naga City,"Hotel Sogo Naga, Boning Sia Street, CBD II, Triangulo Naga City",24-Jan-90,,31-Oct-26
Region 5,Mabuhay Accommodation,Hotel Villa de California Inc.,DOT-R05-MAB-00024-2020,Albay,Ligao City,"718 California Village, Tuburan, Ligao City, Albay",09086268843 / 09956512657,,31-Oct-26
Region 5,Mabuhay Accommodation,Iconic Mardini Inn,DOT-R05-MAB-01009-2023,Sorsogon,Sorsogon City,"Purok 6, National Highway, Balogo, Sorsogon City, Sorsogon",9175152654,,31-Oct-26
Region 5,Mabuhay Accommodation,Isla-Grande Inn,DOT-R05-MAB-00870-2022,Catanduanes,Virac,"163 STA. ELENA ST. STA.ELENA VIRAC, CATANDUANES",9706338415 / 09071467582,,31-Oct-26
Region 5,Mabuhay Accommodation,J Spazio Apartelle,DOT-R05-MAB-01139-2023,Albay,Tabaco City,"Ziga Ave., P-2 Tagas, Tabaco City, Albay",9693012225,,31-Oct-26
Region 5,Mabuhay Accommodation,JJ Midcity Inn,DOT-R05-MAB-00383-2021,Albay,Tabaco City,"Herrera St., Brgy. Quinale Cabasan (Pob.), Tabaco City, Albay",9158989055,,31-Oct-26
Region 5,Mabuhay Accommodation,Jaylynme Travellers Inn,DOT-R05-MAB-00009-2020,Albay,Tabaco City,"P3 Bonifacio St., Brgy. Cormidal, Tabaco City, Albay",09217341378 / 09176260848,,31-Oct-25
Region 5,Mabuhay Accommodation,JLY Golden Fortune Corporation-Centro Square,DOT-R05-MAB-00073-2020,Camarines Sur,Naga City,"70 Penafrancia Avenue, Brgy. San Francisco (Pob.), Naga City, Camarines Sur",26-Feb-56,,31-Oct-26
Region 5,Mabuhay Accommodation,Josoc Inn,DOT-R05-MAB-01637-2024,Albay,Ligao City,"Brgy. Bonga, Ligao City, Albay",9267042817,,31-Oct-25
Region 5,Mabuhay Accommodation,Karl's Hotel,DOT-R05-MAB-00516-2022,Sorsogon,Bulan,"T. De Castro., Zone VIII Pob. (Brgy. 8-Loyo), Bulan Sorsogon,",9513156830,,31-Oct-26
Region 5,Mabuhay Accommodation,La-Fontana Beach Resort,DOT-R05-MAB-01078-2023,Albay,Ligao City,"Cabarian, Ligao City, Albay",9108279800,,31-Oct-26
Region 5,Mabuhay Accommodation,Lacsa Hilton Beach Resort,DOT-R05-MAB-00840-2022,Sorsogon,Gubat,"Brgy. Buenavista, Gubat, Sorsogon",9475145912,,31-Oct-26
Region 5,Mabuhay Accommodation,La Casa Roa Hostel,DOT-R05-MAB-00859-2022,Camarines Sur,Caramoan,"Teoxon St., Tawog Pob., Caramoan, Camarines Sur",9175965881,,31-Oct-26
Region 5,Mabuhay Accommodation,Legazpi Amigos Hometel,DOT-R05-MAB-01107-2023,Albay,Legazpi City,"J. Estevez St., Guevarra Subdivision, Brgy. 15 - Ilawod East Pob., Legazpi City, Albay",918913646,,31-Oct-26
Region 5,Mabuhay Accommodation,Legazpi Tourist Inn,DOT-R05-MAB-01107-2023,Albay,Legazpi City,"2nd Floor V&O Building, Lapu-Lapu Street, Brgy. 26 -Dinagaan (Pob.), Legazpi City, Albay",9273547118,,31-Oct-25
Region 5,Mabuhay Accommodation,Ligao Bed & Breakfast,DOT-R05-MAB-00087-2020,Albay,Ligao City,"Harris Commercial Building, 32 San Jose Street, Dunao, Ligao City, Albay",9178020293,,31-Oct-25
Region 5,Mabuhay Accommodation,LUCKY HOTEL AND RESORT,DOT-R05-MAB-00045-2020,Catanduanes,Virac,"Rizal Avenue, San Juan, Virac, Catanduanes",9086270180,,31-Oct-26
Region 5,Mabuhay Accommodation,Luckyland Resort,DOT-R05-MAB-01661-2024,Sorsogon,Sorsogon City,"Lot 1052-G, Csd-05-0129933-D, San Roque",9463383087,,31-Oct-26
Region 5,Mabuhay Accommodation,Ma Nel's Hotel,DOT-R05-MAB-00935-2023,Albay,Camalig,"Purok 1, Ilawod, Camalig, Albay",9178820092,,31-Oct-26
Region 5,Mabuhay Accommodation,Magayon Hotel,DOT-R05-MAB-00048-2020,Albay,Legazpi City,"Penaranda St., Legazpi City, Albay",0527421345 / 09914724985,,31-Oct-26
Region 5,Mabuhay Accommodation,Magindara Guesthouse,DOT-R05-MAB-00641-2022,Camarines Sur,Caramoan,"Brgy. Paniman, Caramoan, Camarines Sur",9453929631,,31-Oct-25
Region 5,Mabuhay Accommodation,Mahogany Grand Lodge,DOT-R05-MAB-01512-2024,Sorsogon,Sorsogon City,"Gate-1 Narra St., SPPVS Bibincahan, Sorsogon City, Sorsogon",9855110475,,31-Oct-25
Region 5,Mabuhay Accommodation,Manhattan Beach Resort,DOT-R05-MAB-00207-2021,Albay,Santo Domingo,"Brgy. Calayucay, Sto. Domingo, Albay",9284280967,,31-Oct-26
Region 5,Mabuhay Accommodation,Maruk Baruk Beach Resort and Events Place,DOT-R05-MAB-01463-2024,Camarines Sur,Balatan,"Pararao, Balatan, Camarines Sur",907681724,,31-Oct-26
Region 5,Mabuhay Accommodation,MBG Lendes Inn,DOT-R05-MAB-00878-2022,Camarines Sur,Iriga City,"Zone 4, San Nicolas, Iriga City, Camarines Sur",9278221016,,31-Oct-26
Region 5,Mabuhay Accommodation,"Meaco Royal Hotel, Inc. (Tabaco City)",DOT-R05-MAB-00760-2022,Albay,Tabaco City,"Ziga Avnue P-4, Divino Rostro, Tabaco City, Albay",9777659083,,31-Oct-26
Region 5,Mabuhay Accommodation,"Meaco Royal Hotel, Inc. (Legazpi City)",DOT-R05-MAB-00288-2021,Albay,Legazpi City,"Penaranda St., Legazpi City, Albay",9163491031,,31-Oct-26
Region 5,Mabuhay Accommodation,M.O.D.E.S.T.A Hotel,DOT-R05-MAB-01855-2025,Sorsogon,Irosin,"Bacolod (Pob.), Bacolod, Irosin, Sorsogon",9183460132,,31-Oct-26
Region 5,Mabuhay Accommodation,Modesta Resort,DOT-R05-MAB-01815-2025,Sorsogon,Irosin,"Bagsangan, Irosin, Sorsogon",9183460132,,31-Oct-26
Region 5,Mabuhay Accommodation,Nagaland Hotel,DOT-R05-MAB-00786-2022,Camarines Sur,naga City,"Nagaland Hotel, Elias Angeles Street, Naga City, Camarines Sur",09209771707/09177000040,,31-Oct-26
Region 5,Mabuhay Accommodation,New Bel Air Resort,DOT-R05-MAB-00079-2020,Camarines Norte,Daet,"Happy Homes Bel Air, Lag-On, Daet, Camarines Norte",9951311711,,31-Oct-25
Region 5,Mabuhay Accommodation,Ohana Hometel,DOT-R05-MAB-00868-2022,Sorsogon,Sorsogon City,"303 Sitio Batuhan, Brgy. San Roque, Sorsogon City, Sorsogon",9943449505,,31-Oct-26
Region 5,Mabuhay Accommodation,Oliver's Riff Mamangal Beach Resort,DOT-R05-MAB-00181-2021,Catanduanes,Virac,"Sitio Mamangal, Balite, Virac, Catanduanes",9615517557,,31-Oct-25
Region 5,Mabuhay Accommodation,Paradiso Verde Organic Farm and Resort,DOT-R05-MAB-01759-2024,Camarines Norte,Labo,"Purok 2, Malasugui, Labo, Camarines Norte",9073415301,,31-Oct-26
Region 5,Mabuhay Accommodation,Park View Hotel,DOT-R05-MAB-00708-2022,Albay,Ligao City,"Blumentritt St., Guilid, Ligao City, Albay",9453313787,,31-Oct-25
Region 5,Mabuhay Accommodation,Pedro's Hotel,DOT-R05-MAB-01520-2024,Sorsogon,Sorsogon City,"Sitio, Gabao, Brgy. San Roque, Sorsogon City, Sorsogon",9988653788,,31-Oct-26
Region 5,Mabuhay Accommodation,Pilar Marina Inn,DOT-R05-MAB-00789-2022,Sorsogon,Pilar,"RRL Building II,Corner Milleza Street and Prieto Street, Brgy. Dao (Pob.), Pilar, Sorsogon",9695241381,,31-Oct-26
Region 5,Mabuhay Accommodation,Pinarik Eco Resort,DOT-R05-MAB-00766-2022,Albay,Legazpi City,"Brgy. 9, Purok 3, Pinarik, Legazpi City, Albay",9637028745,,31-Oct-26
Region 5,Mabuhay Accommodation,Queen Maricel Inn,DOT-R05-MAB-00019-2020,Catanduanes,Virac,"Immaculate Street, San Isidro Village, Virac, Catanduanes",9204179974,,31-Oct-26
Region 5,Mabuhay Accommodation,Rex Tourist Inn,DOT-R05-MAB-00061-2020,Camarines Sur,Caramoan,"Tawog (Pob.), Caramoan, Camarines Sur",09198821879 / 090881563254,,31-Oct-26
Region 5,Mabuhay Accommodation,Rakdell Inn,DOT-R05-MAB-00022-2020,Catanduanes,Virac,"San Pedro, Virac, Catanduanes",9079280175,,31-Oct-25
Region 5,Mabuhay Accommodation,Rhaj Executive Inn & Apartelle Inc.,DOT-R05-MAB-00018-2020,Catanduanes,Virac,"Gogon Centro, Virac, Catanduanes",9487854004,,31-Oct-25
Region 5,Mabuhay Accommodation,Riserr Residences,DOT-R05-MAB-00031-2020,Albay,Legazpi City,"#4 Brgy. 8, Bagumbayan, Legazpi City, Albay",9467421498,,31-Oct-26
Region 5,Mabuhay Accommodation,RL Horizon Beach Resort,DOT-R05-MAB-01766-2024,Masbate,Balud,"Palane, Balud, Masbate",9636394493,,31-Oct-26
Region 5,Mabuhay Accommodation,RNR SUITES,DOT-R05-MAB-00128-2021,Albay,Legazpi City,"VINZON ST.,BRGY. 5, SAGMIN, LEGAZPI CITY",9176242200,,31-Oct-26
Region 5,Mabuhay Accommodation,Roadhouse ICG Restaurant,DOT-R05-MAB-00727-2022,Camarines Norte,Basud,"Purok 3, Brgy. Matnog, Basud, Camarines Norte",9173129256,,31-Oct-26
Region 5,Mabuhay Accommodation,"Robiedo Inc., - Robertson Hotel",DOT-R05-MAB-00001-2020,Camarines Sur,Naga City,"J. Miranda Avenue, Concepcion Pequena, Naga City, Camarines Sur",9176309590,,31-Oct-26
Region 5,Mabuhay Accommodation,Sabando Ocampo Beach Resort,DOT-R05-MAB-00235-2021,Albay,Oas,"Maramba, Oas, Albay",9936890815,,31-Oct-26
Region 5,Mabuhay Accommodation,Sabine's Place,DOT-R05-MAB-00175-2021,Masbate,Masbate City,"J. Robredo Boulevard, Ibingay, Masbate City, Masbate",9190671012,,31-Oct-26
Region 5,Mabuhay Accommodation,Se Detendre Beach Resort,DOT-R05-MAB-01707-2024,Masbate,Balud,"Brgy. Panubigan, Balud, Masbate",9055004136,,31-Oct-26
Region 5,Mabuhay Accommodation,Selfieworld Beach and Resort Corp,DOT-R05-MAB-01863-2025,Camarines Norte,Capalonga,"Purok 2, Brgy. Camagsaan, Capalonga, Camarines Norte",9278244520,,31-Oct-26
Region 5,Mabuhay Accommodation,Shell Inn,DOT-R05-MAB-00082-2020,Albay,Legazpi City,"2nd Floor, Purok # 7, Brgy. Arimbay, Legazpi City, Albay",0933-817-7394,,31-Oct-26
Region 5,Mabuhay Accommodation,Southpoolside Tourist Inn,DOT-R05-MAB-00199-2021,Camarines Sur,Naga City,"Bonifacio St., Mayon Avenue, Naga City Camarines Sur",9994642695,,31-Oct-25
Region 5,Mabuhay Accommodation,Supetran Inn,DOT-R05-MAB-01794-2025,Masbate,Balud,"Purok Rema, Palane, Balud, Masbate",9637308226,,31-Oct-25
Region 5,Mabuhay Accommodation,Ticao Island Dive Camp and Resort,DOT-R05-MAB-00015-2020,Masbate,Ticao,"Sitio Tacdungan, Brgy. Bagahanglad, Ticao Island, San Jacinto, Masbate",9175063554 / 09171684409,,31-Oct-26
Region 5,Mabuhay Accommodation,Tinandayagan Falls and Resort,DOT-R05-MAB-00784-2022,Camarines Sur,Libmanan,"Palong, Libmanan, Camarines Sur",9399237622,,31-Oct-25
Region 5,Mabuhay Accommodation,Triple R Resort,DOT-R05-MAB-01587-2024,Sorsogon,Irosin,"Maharlika Highway, Tulay, Bagsangan, Irosin, Sorsogon",9468295405,,31-Oct-25
Region 5,Mabuhay Accommodation,Victoria Bay Resort,DOT-R05-MAB-00237-2021,Albay,Oas,"Sitio Imacoto, Cagmanaba, Oas, Albay",9205870088,,31-Oct-26
Region 5,Mabuhay Accommodation,Victoriapres Inn,DOT-R05-MAB-00231-2021,Camarines Sur,Caramoan,"Peñafrancia Street, Brgy. Paniman, Caramoan, Camarines Sur",9198008885,,31-Oct-25
Region 5,Mabuhay Accommodation,Vi-Da Guest House,DOT-R05-MAB-01667-2024,Sorsogon,Irosin,"Brgy. Monbon, Irosin, Sorsogon",9085262912,,31-Oct-26
Region 5,Mabuhay Accommodation,Villa Andrea Inn,DOT-R05-MAB-01656-2024,Catanduanes,Bato,"Brgy. Buenavista, Bato, Catanduanes",9175039241,,31-Oct-26
Region 5,Mabuhay Accommodation,Villa Luisa Celeste Beach Resort,DOT-R05-MAB-00204-2021,Sorsogon,Bulusan,"Brgy. Dancalan, Bulusan, Sorsogon",9396463845,,31-Oct-26
Region 5,Mabuhay Accommodation,Vismin GV Hotel Inc.,DOT-R05-MAB-00184-2021,Masbate,Masbate City,"GV Hotel Masbate, Danao St., Masbate City, Masbate",9176250442,,31-Oct-25
Region 5,Mabuhay Accommodation,Xanders Private Resort,DOT-R05-MAB-00553-2022,Sorsogon,Irosin,"Brgy. Monbon, Irosin, Sorsogon",9661573678,,31-Oct-26
Region 5,Mabuhay Accommodation,XANDER'S VICTOR PLACE,DOT-R05-MAB-00539-2022,Camarines Sur,Caramoan,"Zone 2, Brgy. Paniman, Caramoan, Camarines Sur",9199696717,,31-Oct-26
Region 5,Mabuhay Accommodation,Yohance Hometel,DOT-R05-MAB-00078-2020,Camarines Sur,Naga City,"Zone 5, J. Miranda Avenue, Concepcion Pequena, Naga City, Camarines Sur",9519263958,,31-Oct-26
Region 5,Mabuhay Accommodation,Your Brother House,DOT-R05-MAB-01898-2025,Albay,Legazpi City,"Purok 2 Brgy. Pawa, Legazpi City, Albay",09773744013 / 09918683239,,31-Oct-26
Region 5,Mabuhay Accommodation,Zane Hotel,DOT-R05-MAB-00730-2022,Camarines Norte,Daet,"Purok Ubas, Brgy. Gubat (Mercedes Rd.), Daet, Camarines Norte",9286541038,,31-Oct-26
Region 5,Hotel,"Alicia Hotel and Convention Center, Inc.",DOT-R05-HTL-00768-2022,Albay,Legazpi City,"Capt. F. Aquende Drive, Brgy. 40 - Cruzada (Brgy. 52)",052-820-8361 / 052-742-2428,,31-Oct-26
Region 5,Hotel,ARDCI Hotel,DOT-R05-HTL-01031-2023,Catanduanes,Virac,"ARDCI Corporate Building, Brgy. San Roque (Pob.), Virac, Catanduanes",9989882476,,31-Oct-26
Region 5,Hotel,CCMSI CORPORATION / VELA HOTEL,DOT-R05-HTL-01883-2025,Albay,Legazpi City,Zone 1 Lakandula Drive Brgy 38 Gogon Legazpi City,9610453310,,31-Oct-26
Region 5,Hotel,E Crown Hotel and Resort - Virac Inc,DOT-R05-HTL-00143-2021,Catanduanes,Virac,"#206 Rizal Avenue, San Vicente, Virac, Catanduanes",9614637148,,31-Oct-26
Region 5,Hotel,Elkanville Hotel,DOT-R05-HTL-00007-2020,Albay,Ligao City,"Sitio Tobgon, Batang, Ligao City",9171759069,,31-Oct-26
Region 5,Hotel,Hotel Fina,DOT-R05-HTL-00384-2021,Albay,Tabaco City,"A.A Berces St., Brgy. Basud, Tabaco City, Albay",9154058885,,31-Oct-26
Region 5,Hotel,Hotel Iñigo,DOT-R05-HTL-00099-2021,Albay,Legazpi City,"Rizal St., Brgy. 19, Cabagnan, Legazpi City, Albay",9352810508,,31-Oct-26
Region 5,Hotel,Hotel St. Ellis,DOT-R05-HTL-00875-2022,Albay,Legazpi City,"Rizal St., Centro Baybay, Legazpi City, Albay",9175591917,,31-Oct-26
Region 5,Hotel,La Piazza Hotel and Convention Center Inc,DOT-R05-HTL-00996-2023,Albay,Legazpi City,"Imelda C. Roces Avenue, Legazpi City, Albay",9176261135,,31-Oct-26
Region 5,Hotel,"La Venezia Hotel & Spa, Inc.",DOT-R05-MAB-00067-2020,Albay,Legazpi City,"Renaissance Gardens, Washington Drive, Brgy. 40 - Cruzada, Legazpi City, Albay",,,31-Oct-26
Region 5,Hotel,"Legazpi Sentro Hotel, Inc.",DOT-R05-HTL-00818-2022,Albay,Legazpi City,"F. Imperial St., Cor. Los Banos, Ave., Brgy. Kapantawan (Pob.), Legazpi City, Albay",9171272106,,31-Oct-26
