,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Hotel,DOT-CAR-HTL-00034-2020,Microtel Inn and Suites,Benguet,Baguio,"#5 Marcoville, Upper Session Road, Baguio City",(074) 619-3333,baguio.acctg@microtel.ph,31-Oct-26,,,,
,,,,,,,(074) 619-3344,jsorquina@microtel.ph,,,,,,,
,,,,,,,9175860066,baguio@microtel.ph,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01210-2023,Mines View Park Hotel,Benguet,Baguio,"#01 Apostol St., Corner Outlook Drive, Mines View, Baguio City",9190660902,minesviewparkHotel@yahoo.com,31-Oct-26,,,
,,,,,,,,gmrvd.minesviewHotel@gmail.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00815-2022,Mount Data Hotel,Mountain Province,Bauko,"Sinto, Bauko, Mountain Province",9951194476,mtdataHotel@tieza.gov.ph,31-Oct-26,,,,
,,,,,,,9693642865,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01278-2023,Sotogrande Hotel Baguio,Benguet,Baguio,"Interior Lot 92M from Leonard Wood Road, Cabinet Hill-Teacher's Camp",0915 645 6081,sales.baguio@sotograndehotels.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-01979-2024,Strutz Art Garden Resort,Abra,Bangued,"Nagtong-O, Calaba, Bangued, Abra",074-752-8382,info@strutzartgardenresort.com,31-Oct-26,,,
,,,,,,,9159662255,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01107-2023,Newtown Plaza Hotel,Benguet,Baguio,"42 Claro M. Recto Street, Saint Joseph Village, Navy Base, Baguio City",,ggm.newtownplazaHotel@gmail.com,31-Oct-26,,,
,,,,,,,(074) 448-8888,newtownplazaHotel.reserve@gmail.com,,,,,,,
,,,,,,,(074) 422-5352,,,,,,,,
,,,,,,,0917 708 5830,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00073-2020,Paragon Hotel and Suites,Benguet,Baguio,"16 Otek Street, Rizal Monument Area, Baguio City",(074) 442 9968,fortunehongkongacctg@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-00341-2021,Pines View Hotel,Benguet,Baguio,"24 Legarda Road, Burnham-Kisad, Baguio City",9159548466,pvhdot@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-01139-2023,Prince Plaza Hotel,Benguet,Baguio,"15 Legarda Road, Baguio City",9175764658,princeplazahotel@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00491-2021,Ritz Legarda,Benguet,Baguio,"#33 Legarda Road, Baguio City",9276965127,ritzlegarda@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-01028-2023,RK's Garden Breeze Hotel and Restaurant,Benguet,Buguias,"Bangao, Buguias, Benguet",9165814332,gardenbreeze01@gmail.com,31-Oct-26,,,,
,,,,,,,9217677417,fgcresaups@gmail.com,,,,,,,
,,,,,,,9602129987,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01560-2024,Starway Hotel and Restaurant,Benguet,Baguio City,"58 Rimando Road, Baguio City",0917-1866-882,starwayHotelbaguio@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00009-2020,Starwood Hotel,Benguet,Baguio City,"#1 Kisad Road, Baguio City",(074) 446-5830,bgostarwoodHotel@yahoo.com,31-Oct-26,,,,,
,,,,,,,9175972190,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00781-2022,The Forest Lodge at Camp John Hay,Benguet,Baguio City,"John Hay Special Economic Zone, Loakan Road, Baguio City",(074) 422-2075-76-80,theforestlodge@campjohnhayHotels.ph,31-Oct-25,,,,
,,,,,,,9178264558,reservation@campjohnhayHotels.ph,,,,,,,
,,,,,,,,chloe.wasing@campjohnhayHotels.ph,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00090-2020,The Golden Pine Hotel,Benguet,Baguio City,"Corner Cariño and Yandoc Street, Baguio City",(074) 444-9965-67-72,gph_fo@yahoo.com,31-Oct-26,,,,,
,,,,,,,9077840624,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01255-2023,The Orchard Hotel Baguio,Benguet,Baguio City,"#49 Legarda Road, Baguio City",9178962305,reservations@orchardbaguio.com,31-Oct-26,,,,,
,,,,,,,9985483348,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-02068-2024,The Plaza Garden Hotel and Residences Corporation,Benguet,Baguio City,"Ferdinand, Europa Condominium Villas Legarda Rd., Ferdinand",9153124181,majesca.maclan@gmail.com,31-Oct-26,,,,
,,,,,,,'09272119104,info.lodge@theplazahotelgroup.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00895-2022,The Plaza Lodge-Baguio City,Benguet,Baguio City,"32 Brgy., South Drive, Baguio City",9153124181,majesca.maclan@gmail.com,31-Oct-26,,,,
,,,,,,,,info.lodge@theplazahotelgroup.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00144-2021,The Podium Hotel,Benguet,Baguio City,"Km. 4, Bakakeng Central, Marcos Highway, Baguio City",9178528006,thepodiumbh@gmail.com,31-Oct-26,,,
CAR,Hotel,DOT-CAR-HTL-02024-2024,Travelite Hotel Legarda,Benguet,Baguio City,"Travelite Hotel cor. Legarda Rd. & Bukaneg St., Burnham-Legarda, Baguio City",9177085830,traveliteexpressHotel.ph@gmail.com,31-Oct-26,,,,
,,,,,,,9399062109,thlegarda.reservations@gmail.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01120-2023,Travelite Express Hotel,Benguet,Baguio City,"Corner Chuntug and F. Bautista Drive, AZCKO, Baguio City","""09177085830",traveliteexpresshotel.ph@gmail.com,31-Oct-26,,,,
,,,,,,,"09399062109""",,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01668-2024,Tuscany Basic Urban Stay,Benguet,Baguio City,"123, Abanao Extension, Rizal Monument",639189852453,tuscanyhotelbaguio@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-01156-2023,V Hotel and Apartelle,Benguet,Baguio City,"#14 Bukaneg St., Baguio City",619-0793,vhotelapartelle_accounting@yahoo.com,31-Oct-26,,,,,
,,,,,,,9778750770,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00016-2020,Venus Parkview Hotel,Benguet,Baguio City,"#19 Kisad Road, Burnham-Legarda, Baguio City",(074) 442-5597,info@venusparkviewHotel.com,31-Oct-26,,,,
,,,,,,,0936 972 8181,flayus@venusparkviewHotel.com,,,,,,,
,,,,,,,0917 639 7462,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01950-2024,3BU Hostel,Benguet,Baguio City,120 Upper Bonifacio Street,9194125845,janesa.tiong@icbsph.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00423-2021,8 RVE Lanes,Benguet,Baguio City,"Lot 3, Blk 1 Cuidad Grande Phase 1, Baguio City","""09294938240",ejdclawfirm@gmail.com,31-Oct-26,,,,
,,,,,,,"09171227099""",,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00790-2022,7th Heaven's Cafe and Lodging,Ifugao,Banaue,"Pang-ngat,Poblacion,Banaue, Ifugao",9564095649,7thHeavenbanaue@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00141-2021,181 North Place Residences,Benguet,Baguio City,"#69 Bakakeng Road, Baguio City",(074) 661-3826 / (0917) 798-0302,"#69 Bakakeng Road, Baguio City",31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01788-2024,4J's Family Lodge,Ifugao,Tinoc,"Tabuyan, Poblacion, Tinoc, Ifugao",9161347727,jovelynnibaten@gmail.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02256-2025,Angkong's Transient House,Benguet,Baguio City,"15 Sherpa St., Shangrila, Brgy. San Luis Village, Baguio City",9069112273,elaineangelict@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01628-2024,A's Guest House,Benguet,Baguio City,"UG-S ,Suntrust 88 Gibraltar",9063369489,anthonycereno13@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02417-2025,Abong Nen Juan Tan Tenia,Benguet,Bokod,Palansa Bila Bokod Benguet,9338185990,nazarrorenee@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-HTL-02131-2024,A Hotel,Benguet,Baguio City,Abanao Street Corner Shagem Street Baguip City,9662018600,ahotelbaguio@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00155-2021,AHB Inn,Benguet,Baguio City,"125 Dominican Rd., Baguio City",9060248675,marianbilayon@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00983-2022,AJ Pension House,Benguet,Baguio City,"#18 Jungle Town, Salud Mitra, Baguio City",(074) 442-2206,ajspensionhouse2022@gmail.com,31-Oct-26,,,,
,,,,,,,9159374952,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00784-2022,Alpine G's Lodge and Restaurant,Benguet,Buguias,"Bekes, Buyacaoan, Buguias, Benguet",9087151714,shielabatonan00@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00464-2021,Amabel's Homestay,Benguet,Baguio City,"Harvard Building, North Cambridge, Bakakeng North, Bareng Drive, Baguio City",0998 188 6189,amabelpalangyos@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00424-2021,Amber Transient House,Benguet,Baguio City,"63, Purok 2, Imelda Village, Baguio City",9176369095,soledadsohu@yahoo.com.ph,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00099-2020,Amlangan Lodging Home,Mountain Province,Sagada,"Kenlibed, Demang, Sagada, Mt. Province",9175665944,amlanganlodge@gmail.com,31-Oct-26,,,
,,,,,,,9173205698,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02122-2024,Ayeona Homestay,Mountain Province,Sagada,"Brgy. Dagdag (Pob.), Sagada, Mt. Province",9772060185,antonettwandag@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02393-2025,Amytote 88 Property Rental,Benguet,Baguio,"UNIT 6-1 Suntrust 88 Condominium, Tower 2, Baguio City",91827801488,elsielimmong@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01868-2024,Angie Boarding House,Benguet,Baguio,"439 Maria Pucay rd., Pinsao Proper, Baguio City",9151179257,JOANVALENCIANO@HOTMAIL.COM,31-Oct-26,,,,
,,,,,,,9995342626,,,,,,,,
,,,,,,,9954631542,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01553-2024,AQNO 2600 Guest House,Benguet,Baguio,"1-B Sunflower Subdivision, San Luis Village",9175066366,mm2600.aquino@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01225-2023,Arc Residences,Benguet,Baguio,"#08 Bareng Drive, Bakakeng, Baguio City",(074) 661-3233,arc@ecodevelopment.ph,31-Oct-26,,,,
,,,,,,,9989980875,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02479-2025,Art Haven Transient House,Benguet,Baguio,"75 Ortega Street, Middle Quezon Hill, Baguio City",9691907719,zannie1009@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02372-2025,Archog Hotel / Archog Restaurant,Mountain Province,Sagada,"Samoki, Bontoc, Mt. Province",9197882130,archoghotel.archogrestaurant22@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00348-2021,Ashtan Transient House,Benguet,Baguio,"147 Padre Zamora, Baguio City",9089614469,ashtantransient@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01909-2024,Ashburn's Transient Baguio,Benguet,Baguio,"Lot A Imelda Marcos Brgy., Marcos Highway, Baguio City",9989828497,lenlen021479@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00002-2020,Bag-C Vacation House,Benguet,Baguio,Km 3 Tg Home Builders Marcos Highway 2nd Floor of Metrobank,9171550462,baguioden@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00827-2022,Baguio Benguet Community Credit Cooperative,Benguet,Baguio,"#56 Cooperative Street, Assumption Road, Baguio City",(074) 442-5872,bbccc_online@yahoo.com,31-Oct-26,,,,
,,,,,,,9474282562,bbcccoop@gmail.com,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02027-2024,Baguio Condotel by Mikol Properties Inc.,Benguet,Baguio,"#19 Harrison Rd., Baguio City",0922 850 0035,baguio_condotel07@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01292-2024,Baguio Market Vendors Multi Purpose Cooperative (Lodging Only),Benguet,Baguio,"BAMARVEMPCO Building, Labsan Street, Kayang Extension",(074) 637-3570,bamarvempco_1998@yahoo.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01747-2024,Baguio Terra Realty And Development (Uphill Baguio),Benguet,Baguio City,"463 Dahlia Street, Upper Qm , Baguio City",0995 559 7534,baguioterra@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00831-2022,Baguio Transient Dot Com,Benguet,Baguio,"#241 Mission Road, Crystal Cave, Baguio City",(074) 424-8731,iza@baguiotransient.com,31-Oct-26,,,,
,,,,,,,9175586896,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01655-2024,Balai Montañosa,Benguet,Baguio City,"27, Purok 4, East, Gibraltar, Baguio City",9271942106,jlianadona@gmail.com,31-Oct-25,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00053-2020,Baguio Vacation Apartments,Benguet,Baguio City,"#28 Munoz Drive, Asin Road, Baguio City",9195605771,baguiovacation@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00513-2021,Baguio Village Inn,Benguet,Baguio City,"355 Magsaysay Avenue, Baguio City",09988627955 09175709675,baguiovillageinn@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02275-2025,Baguio Staycation 2 BR Condo Apartelle,Benguet,Baguio City,"Unit 412, Moldex Residences, Marcos Highway",9294964648,elainemarie.1023@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02181-2024,Balai Dominic Transient House,Benguet,Baguio City,"67 Avelino Extension, Lower Fairview, Brgy. Fairview Village, Baguio City",9088843709,ricnacs888@yahoo.com,31-Oct-26,,,
,,,,,,,9277145448,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02060-2024,Balai Tako by Noble Nest Realty and Services,Benguet,Tuba,"#54 paramount village bomosgao, poblacion, tuba",9486990653,jhona_010486@yahoo.com,31-Oct-26,,,,
,,,,,,,9070967289,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00010-2020,Baleh Boble Guest House,Ifugao,Banaue,"Napitang, Tam-an, Banaue, Ifugao",9435522275,balehboble@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00082-2020,Banaue Ethnic Village and Pine Forest Resort,Ifugao,Banaue,"Pasnacan, Banaue, Ifugao",9171575517,mjane_buyao@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00150-2021,Banaue Homestay,Ifugao,Banaue,"Pangngat, Poblacion, Banaue, Ifugao",9291974242,beatrizbandao@rocketmail.com,31-Oct-26,,,
,,,,,,,9061352455,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01719-2024,Banaue Sunrise Restaurant and Guesthouse,Ifugao,Banaue,"Imbatugan, Brgy. Poblacion, Banaue, Ifugao",9264835609,bsrgemini@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00590-2022,Bang-Kito Condo Unit Rental,Benguet,Baguio,"#4 Bukaneg St, Legarda Road, Baguio City",9399371202,syshimmom@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02309-2025,BAPTC Guestel,Benguet,Baguio,"Strawberry Farm Betag, La Trinidad Benguet",9074469799,guestelb@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00066-2020,Basawil Transient House,Benguet,Baguio,"# 70 Tiptop Ambuclao Road, Baguio City",9296188826,jocelynbasawil@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01889-2024,Bellamy Homestay,Benguet,Baguio,"Blk 6 Lot 11, Sherpa St., Shangri-la Village, BRgy. San Luis Village, Baguio City",9398125431,lezter14k@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02251-2025,Below Road Homestay,Mountain Province,Sagada,"Dagdag , Sagada, Mt. Province",9108700467,belowroad11@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00846-2022,Bender Transient House,Benguet,Baguio,"#298 Elizabeth Court, Suello Village, Bakakeng Central, Baguio City",9175586896,bookings@baguiotransient.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02263-2025,Bermudo Transient House,Benguet,Baguio,"# 47 Manuel Roxas Barangay, Teachers Camp, Baguio City",9497416134,bermudodanlina@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01223-2023,Bernies Transient House,Benguet,Baguio,"24 Upper Cabinet Hill, Baguio City",0968 897 0120,berniestransient@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00896-2022,Benguet Prime Hotel & Restaurant,Benguet,Baguio City,"Corner Calderon St., Session Rd., Baguio City",9183047315,benguetprimehotel@yahoo.com,31-Oct-26,,,,
,,,,,,,(074) 448-7609,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00449-2021,Big Dipper Homestay,Mountain Province,Sagada,"Big Dipper, Staunton Road, Mabbay, Patay, Sagada, Mountain Province",9993030008,inan.albani@gmail.com,31-Oct-26,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01822-2024,Billy's Homestay,Mountain Province,Sagada,"Poblacion, Sagada, Mountain Province",9165429826,baldolaura2619@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00166-2021,Bilza Lodge and Resto,Mountain Province,Sagada,"Balugan, Sagada, Mountain Province",9985364978,sagadabilzalodge2017@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00167-2021,Bilza Resort,Kalinga,Tabuk,"San Francisco, Dagupan Weste, Tabuk City, Kalinga",9985472109,joycedilag@ymail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02480-2025,Blend & Co's Transient Inn,Benguet,Baguio,"#23 Second Road, Quezon Hill Proper, Baguio City",9555730490,dhannethnoipe@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01965-2024,Blue Mountain Hotel,Benguet,Baguio,"#18 Palispis Highway Brgy. Imelda Marcos, Baguio City","""09175072030",ammrobes@gmail.com,31-Oct-26,,,,,
,,,,,,,"(074) 246 2022""",,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01943-2024,Bogah Lodge,Ifugao,Banaue,"Bocos, Banaue, Ifugao",9271124308,denwil123@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00573-2022,Bosaing Homestay,Mountain Province,Sagada,"Nangonogan, Patay, Sagada, Mountain Province",9154922193,arthur.bosaing@deped.gov.ph,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00874-2022,Brentwood Apartelle & Catering,Benguet,Baguio,"#85 Brentwood Village, M. Roxas St., Baguio City","""(074)-442-9440",brentwoodreservations@yahoo.com,31-Oct-26,,,,
,,,,,,,"074 444-7297""",,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02317-2025,"Brent International School, Baguio Inc.",Benguet,Baguio,Brent Road Purok 4 Imelda Village Baguio City,9176369710,fo.guesthouse@brentbaguio.edu.ph,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02424-2025,Bright and Light Transient House,Benguet,Baguio,"10 Lower Rivera Street, Cresencia Village, Baguio City",9157798052,geoffrey.ang.baguio@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02018-2024,B.T.S Transient House,Benguet,Baguio,"Unit 508, Burnham Suite, Legarda Road, Baguio City",9151771018,20181998@s.ubaguio.edu,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02015-2024,B.T.S Transient House,Benguet,Baguio,"Unit 112, Oakhill Bldg., Bristle Ridge Condominium,Ambuclao Road, Brgy., Pacdal, Baguio City",9288270842,tabago.acctg.files@gmail.com,31-Oct-26
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01078-2023,Buena Victoria Transient House,Benguet,Baguio,"521 Hillside Brgy., Baguio City",9993250883,sampagac@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00136-2021,Burgos B and B Transient House,Benguet,Baguio,"#14 Lower Padre Burgos, Baguio City",9064011081,colleenbeatricetan@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00528-2022,Canaway Inn,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9365645618,canawayinn@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02276-2025,Cam-Jhao's Homestay,Mountain Province,Sagada,"Poblacion Patay, Sagada, Mountain Province",9761806531,aponcamolojhao14@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00563-2022,Campo Filipino Dormitelle,Benguet,Baguio,"Cor Roman Ayson Cor Ferguson Brgy., Campo Filipino",09175331193 / 09158352232 / 09275411684,campofilipino.dmc@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00997-2022,Carmela Transient House,Benguet,Baguio,"#300 Elizabeth Court, Suello Village, Bakakeng Central, Baguio City",9176785510,marl_sayana@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00054-2020,Casa Bel,Benguet,Baguio,"B1 MM GARA Bldg., Bakakeng Central, Baguio City",9271371679,casabelbaguio@gmail.com,31-Oct-26,,,,
,,,,,,,9175065448,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00693-2022,Casalael Transient House,Benguet,Baguio,"Purok 9 CICM Rd., Bakakeng Norte, New site, Baguio City",9173189317,casalaelbaguio@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02360-2025,Casalejandra House Rental,Benguet,Baguio,Block 4 Eagle Crest Phase 2 Bakakeng North Sur Baguio,9173101848,ally042524@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01658-2024,Cassa Felize Transient House,Benguet,Baguio,"Lot 29, Block 4, Gumamela Street, Ciudad Grande, Phase 1",9452748385,rayeirene@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02374-2025,Castro Apartment,Benguet,Baguio,"38, Magnolia Street, Q.M. Subd., Upper QM, Baguio City",9657023918,virgiecastro629@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02085-2024,Challeya Cottages,Mountain Province,Sagada,"Mabbay, Patay, Sagada, Mountain Province",9169529649,cottageschalleya@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02262-2025,Chi-Rho Guest House,Benguet,Baguio,8-C General Lim St. Burnham Legarda Baguio City,9064082938,adamrcjove@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00560-2022,City Side Tourist Inn,Benguet,Baguio,#1 Baguio-BuaTuding-Itogon Rd. Tuding,9209791308,luisloiselane@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00654-2022,Claire'ence Inn,Mountain Province,Sagada,"Poblacion, Patay, Sagada, Mountain Province",9637402733,liamlikigan@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02340-2025,Cloudfield Transient House,Benguet,Tuba,"Upper Poblacion, Tuba, Benguet",09486990653/09760589323,Cloudfieldsjhona@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01988-2024,Cold Wind Transient House,Benguet,Baguio,"50 Purok 1, Ambuklao Rd., Gibraltar, Baguio City",9169655947,coldwindtransient@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01020-2023,Cooyeesan Hotel Plaza,Benguet,Baguio,"Naguilian Rd., Asin Corner, Baguio City",9178238855,frontdesk07cys@gmail.com,31-Oct-26,,,,
,,,(San-An Realty Development Corp),,,,9998887889,,,,,,,,
,,,,,,,447 8888,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01256-2023,Cosy Pink Homestay,Mountain Province,Sagada,"Ato, Patay, Sagada, Mountain Province",9608964049,cosypinkHomestay@gmail.com,31-Oct-26,,,
,,,,,,,9282665411,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02339-2025,Crusaders of the Divine Church of Christ Philippines Inc,Benguet,Baguio,20 Purok 6 Gibraltar Baguio City,9488522983,arciagamjoice@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00600-2022,Cyl Apartelle,Benguet,Baguio,"150 Gladiola street. Purok 3 Central, Fairview, Baguio City",9156644970,cessgumangan78@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00554-2022,Dad's Homestay,Mountain Province,Sagada,"Batalao, Antadao, Sagada, Mountain Province",9105403819,aiza_segundo@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02016-2024,Da Carpenters Homestay,Mountain Province,Sagada,"Datil, ato, Patay, sagada, Mountain Province",9487791864,jen.jermaine5@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00533-2022,Dagdag Village Homestay,Mountain Province,Sagada,"Brgy. Dagdag (Pob.), Sagada, Mt. Province",9106622735,taulimona@gmail.com,31-Oct-26,,,,
,,,,,,,9569172259,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01131-2023,DaNest Transient House,Benguet,Baguio,"36 Purok 3 Cabinet Hill-Teachers Camp, Baguio City",9338757807,rubysulipa30@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00512-2021,DBP Training Complex,Benguet,Baguio,"VL Romulo Drive, Gibraltar, Baguio City",0744248249 /,dbptcbaguio@gmail.com,31-Oct-26,,,,
,,,,,,,9178072237,,,,,,,,
