Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00238-2021,HOTEL MONTE RIO ALAMINOS INC.,Pangasinan,Alaminos City,"EDILBERTO BLDG., QUEZON AVE., POBLACION",9189113958,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00480-2021,Isla Grande Pension House,Pangasinan,Alaminos City,"National Highway, Lucap,Alaminos City, Pangasinan",9189464593,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00840-2022,KAIVIGAN RESORT,Pangasinan,Alaminos City,#37 Bonifacio,9177218308,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00703-2022,LUCKY ONE TRANSIENT,Pangasinan,Alaminos City,309 lucap road alaminos city pangasinan,9276960022,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00634-2021,NEILAN PRIVATE RESORT,Pangasinan,Alaminos City,"Bolo 2, Bgy. Pandan",9056652469,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01575-2023,QATARA RESORT,Pangasinan,Alaminos City,"Sitio Kampilan, Magsaysay, Alaminos City, Pangasinan",9206934161,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01087-2022,Westside Guest House,Pangasinan,Alaminos City,"Lucap,Alaminos City, Pangasinan",9477905583,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00938-2022,Eight Two Eight Gems Beach Resort,Pangasinan,Anda,"Purok 2, Tondol, Anda Pangasinan",09055396709 / 09464260476,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01604-2023,GAMBITO TRANSIENT HOUSE,Pangasinan,Anda,Purok 2,9260087264,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01363-2022,LAISLA NENITA PARADISE BEACH RESORT,Pangasinan,Anda,PUROK 2,9993192935,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00552-2021,SARMIENTO BEACH HOUSE,Pangasinan,Anda,"SARMIENTO BEACH HOUSE, PUROK UNO, TONDOL, ANDA PANGASINAN",0908-8930922,https://www.sarmientobeachhouse.com/,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01642-2023,Villa Lucita Transient House,Pangasinan,Anda,"Tondol, Anda, Pangasinan",9202673032,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01651-2023,VILLA VESSELA,Pangasinan,Anda,"Tondol, Purok 2, Anda, Pangasinan",9636074814,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00332-2021,FDB CABANA COTTAGE RENTAL,Pangasinan,Bani,Sitio Olanen Dacap Sur Bani Pangasinan,09610749968 / 639703287089,https://www.fdbcabanabeach.ml/,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01512-2023,DEL'S BEACH HOUSE,Pangasinan,Burgos,"SITIO CABONGAOAN, BRGY. ILIO-ILIO",9456018972,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01140-2022,ALMA'S HAVEN ROOM RENTAL,Pangasinan,Dasol,Brgy Tambobong Dasol Pangasinan,9394936842,https://tinyurl.com/AlmasHaven,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01592-2023,Marinel's Beach House,Pangasinan,Dasol,"Tambobong, Dasol, Pangasinan",9612329945,https://web.facebook.com/marinelsbeachresort,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01131-2022,YRS Resort,Pangasinan,Lingayen,"Libsong East, Lingayen Pangasinan",9493480903,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01634-2023,FARMVIEW EVENTS PLACE,Pangasinan,Mangatarem,"033, Barangay Torre 1st, Mangatarem, Pangasinan",9178437059,https://www.facebook.com/farmviewmangatarem,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01397-2022,VILLA NATIVIDAD RESORT,Pangasinan,San Carlos City,Purok 4,0951 993 6092,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00950-2022,SUNRISE GRANDE RESORT,Pangasinan,Anda,"Purok 2, tONDOL, Anda Pangasinan",0929 076 6953,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01660-2023,AGUADA HOMESTAY,Pangasinan,Bolinao,"LUCIENTE 2, BOLINAO PANGASINAN",9773434987,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00113-2021,LIBERTY BEACH RESORT,Pangasinan,Bolinao,"Ilog Malino, Bolinao, Pangasinan",9055314058,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00488-2021,LOVERS ROOM RENTAL,Pangasinan,Dasol,"Purok 2 Osmeña Dasol,Pangasinan",9955506432,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02097-2024,HOLIDAY’S BEACH RESORT,Pangasinan,Bolinao,"Holiday’s Beach Resort German road,abrac Patar Bolinao Pangasinan",9975275467,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02265-2024,CAMILLE HOMESTAY,Pangasinan,Dasol,"Purok 3, Brgy. Tambobong, Dasol, Pangasinan",9085876367,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02120-2024,FINAL DESTINATION RESORT,Pangasinan,Bolinao,Final Destination Resort Luciente 1 Bolinao Pangasinan,9975275467,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02270-2024,ACACCIA SUNRISE’S BEACH RESORT,Pangasinan,Anda,447 Purok 5 Caniogan Tondol Anda Pangasinan,9688888438,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02078-2024,OCEANVIEW HOMESTAY,Pangasinan,Alaminos City,"Boulevard St. ,Lucap, Alaminos City, Pangasinan",9157989343,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02374-2024,ALEMAN'S GARDEN HOTEL & RESTAURANT,Pangasinan,San Carlos City,"Sitio Bulacan, Brgy. San Juan, San Carlos City, Pangasinan",0963 516 9614,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02272-2024,JCT BEACH RESORT,Pangasinan,Anda,"Tondol, Anda, PAngasinan",9214949248,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02266-2024,RULLAN APARTELLE,Pangasinan,Anda,Poblacion Anda Pangasinan,9984449339,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02389-2024,DE PORCH HOMESTAY,Pangasinan,Bolinao,"ARNEDO, BOLINAO, PANGASINAN",9604096905,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02288-2024,CABONGAOAN BEACH RESORT CO.,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy. Iliw-Iliw, Burgos Pangasinan",9985108257,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01085-2022,ELC INN,Pangasinan,Anda,"Purok 2 Tondol, Anda, Pangasinan",9760193530,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02093-2024,MERCI WHITE BEACH RESORT,Pangasinan,Bolinao,PATAR BOLINAO PANGASINAN,9270481154,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02171-2024,NIKKI'S ROOM RENTAL,Pangasinan,Dasol,"Brgy. Tambobong, Dasol, Pangasinan",9216558281,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02460-2024,KAWAYANKILING RESORT INC.,Pangasinan,San Carlos City,"Caoayan-Kiling, San CArlos City, Pangasinan",9209774653,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01643-2023,PARAISO SA GUBAT BEACH RESORT,Pangasinan,Anda,"Tondol, Anda, Pangasinan",9688846261,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00828-2022,BALAY M TRANSIENT HOUSE,Pangasinan,Alaminos City,"Highway Road, Lucap,Alaminos City, Pangasinan",9485352469,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02518-2024,APPLEMARIE CORPORATION IN DOING BUSINESS BUDDHA RESORT & TRAVELLER'S INN,Pangasinan,Bugallon,BRGY. POLONG HIGHWAY BUGALLON PANGASINAN,9502389212,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02521-2024,BAYWALK-PARADISE INN,Pangasinan,Lingayen,"SALVACION EXTENSION, BAYWALK, BRGY. MANIBOC LINGAYEN PANGASINAN",9310337527,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00547-2021,ISLAND TROPIC HOTEL AND RESTAURANT,Pangasinan,Alaminos City,"BOULEVARD ST., Lucap, Alaminos City, Pangasinan",9995178411,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01702-2023,R & M COVE RESORT,Pangasinan,Bolinao,"Arnedo, Bolinao, Pangasinan",09468840509 / 09668239455 / 09480654947,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01553-2023,VILLA MILAGROS PENSION HOUSE,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9152187220,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01076-2022,VILLA CECILIA BEACH RESORT,Pangasinan,Anda,"Villa Cecilia Beach Resort, Purok 2, Tondol, Anda Pangasinan",09995378236/09771184514/09498007714,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00927-2022,FRANCIS TRANSIENT HOUSE,Pangasinan,Alaminos City,"10 Boulevard St, Lucap, Alaminos City, Pangasinan",9192276580,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00801-2022,NAJERA TRANSIENT ROOMS,Pangasinan,Alaminos City,"#9 Blvd, Lucap, Alaminos City, Pangasinan",9103571177,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01020-2022,BIMAR SPACE RENTAL,Pangasinan,Alaminos City,"Alaminos-Bani Rd corner Sta. Maria St. Pogo, Alaminos City",9306746171,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00807-2022,MRI BED AND BREAKFAST/MONTE RIO GARDENS BED AND BREAKFAST,Pangasinan,Alaminos City,"Monte Rio Compound , Montemayor St. Poblacion , Alaminos City, Pangasinan",09277209061/09178958995,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01083-2022,RAZOTE TRAVEL LODGE,Pangasinan,Alaminos City,351 boulevard st brgy lucap alaminos city pangasinan,09477900698/ 09663688425,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01056-2022,GALIMBA RESIDENCE INN,Pangasinan,Alaminos City,781 Recudo Street Lucap Alaminos Pangasinan,9151562604,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00802-2022,MARY LAND TRANSIENT HOUSE,Pangasinan,Alaminos City,"National Highway, Lucap, Alaminos City, Pangasinan",9995655677,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01084-2022,EL-CASA CATABAY-CARIÑO ROOM RENTAL,Pangasinan,Anda,"TONDOL, ANDA, PANGASINAN",9051775570,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01507-2023,3 J & P OCEAN VIEW COTTAGES,Pangasinan,Burgos,"Brgy. Ilio - Ilio (Iliw-iliw), Sitio Cabongaoan, Burgos, Pangasinan",9122099944,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01491-2023,PLAYA DE LUZ RESORT,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy., Ilio Ilio, Burgos, Pangasinan",9177876918,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00505-2021,RBR HOTEL AND RESTAURANT,Pangasinan,Alaminos City,"RBR HOTEL AND RESTAURANT, San Jose Drive, Lucap, Alaminos City, Pangasinan",9988851232,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01510-2023,CRESTA ALMAR BEACH RESORT,Pangasinan,Burgos,"Sitio Cabongaoan, Ilio-Ilio (Iliw-iliw), Burgos, Pangasinan",9610944659,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02625-2025,8 MILES BEACH HOUSE,Pangasinan,Anda,"Tondol, Anda, Pangasinan",9483489474,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02628-2025,NORTHERN SPOT BEACH RESORT,Pangasinan,Anda,"Purok Maligaya East, Cabungan, Anda, Pangasinan",9062398269,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01049-2022,RECUDO RESIDENCE RESORT,Pangasinan,Anda,"OSMEÑA, DASOL, PANGASINAN",9958115391,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02630-2025,KEN-VEN TRANSIENT HOUSE,Pangasinan,Anda,"Purok-2, Tondol, Anda, Pangasinan",09995378236 / 09771184514,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02633-2025,AMANDA.MARIZ GUEST HOUSE,Pangasinan,Dasol,"Purok 2, Tambobong, Dasol, Pangasinan",9636920025,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00495-2021,KYLAH TRANSIENT HOUSE,Pangasinan,Alaminos City,"Highway Lucap, Alaminos City, Pangasinan",9272343953,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00493-2021,ED TRANSIENT HOUSE,Pangasinan,Alaminos City,"Sitio Recudo, Lucap, Alaminos City, Pangasinan",9212986642,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01100-2022,VIEVAN'S TRANSIENT HOUSE,Pangasinan,Alaminos City,"Bued, Alaminos City, Pangasinan",9279562764,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02652-2025,CASOLARES BEACH RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9451884125,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02659-2025,CAMP PUOR CAMPING SITE RENTAL,Pangasinan,Bolinao,"Tupa, Bolinao,Pangasinan,Phil",9564165561,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00304-2021,MIA AL MAR RESORT,Pangasinan,Bolinao,"Purok1 Patar Road, Patar, Bolinao, Pangasinan",9563507037,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00299-2021,RACNIEL BEACH HOUSE RENTAL,Pangasinan,Bolinao,"Purok 2, Ilog-Malino, Bolinao, Pangasinan",9062165691,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00536-2021,CAHIGAS BEACH RESORT,Pangasinan,Anda,"Tondol, Anda, Pangasinan",09260758017/09102625643,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02678-2025,ARLYNS SUNSET' BEACH RESORT,Pangasinan,Dasol,Purok 5 Barangay Tambobong Dasol Pangasinan,9772512255,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02679-2025,MERGIE'S BEACH HOUSE,Pangasinan,Anda,"Tondol, Anda,Pangasinan",9662657844,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02680-2025,MYKONOS RESORT,Pangasinan,Anda,"Purok 2, Tondol, Anda Pangasinan",9190900755,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01031-2022,KAIHANA RESORT,Pangasinan,Anda,"Purok 2, Tondol, Anda Pangasinan",9175028848,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02693-2025,PERTIBLE BEACH RESORT,Pangasinan,Anda,"Tondol, Anda, Pangasinan",9105285878,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00654-2021,MYL TRANSIENT ROOM,Pangasinan,Bolinao,"MYL'S TRANSIENT, ABRAC PATAR BEACH, PATAR, BOLINAO, PANGASINAN",9057690952,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02701-2025,R AND M BEACH RESORT,Pangasinan,Anda,TONDOL ANDA PANGASINAN,9216292678,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01654-2023,RESIDENZA CIPRES BEACH HOUSE,Pangasinan,Anda,Tondol Anda Pangasinan,912354526,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01061-2022,PUERTO DEL BAHER BEACH RESORT,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy., Ilio Ilio, Burgos, Pangasinan",9652063331,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01703-2023,WESTCOAST DASOL BEACH RESORT,Pangasinan,Dasol,"PUROK UNO BRGY. TAMBOBONG DASOL, PANGASINAN",9090930178,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02786-2025,NABUA BEACH HOUSE,Pangasinan,Anda,"Purok 2, Tondol, Anda Pangasinan",9501088425,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00265-2021,ZENERIX TRANSIENT HOUSE,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9182534095,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00819-2022,CASA CAROLINA BEACH RESORT,Pangasinan,Bolinao,Patar Bolinao Pangasinan,"09516772497 , 09270486584",,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02795-2025,4A’S BEACH RESORT,Pangasinan,Anda,"Purok 3, Tondol, Anda Pangasinan",9177250823,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01511-2023,BOLO SEACOAST RESORT,Pangasinan,Alaminos City,"Bolo II-Pandan, Alaminos City, Pangasinan",9164807613,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01077-2022,S&C BEACH RESORT,Pangasinan,Anda,"Purok 2, Tondol, Anda, Pangasinan",0908-8930299,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02810-2025,L-REY BEACH HOUSE,Pangasinan,Bolinao,"Patar, Bolinao, Pangasinan",9993707041,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02811-2025,VERLING'S BEACH RESORT,Pangasinan,Bolinao,"Brgy.Estanza,Bolinao Pang.",9455879734,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02821-2025,MAC VAN MAE BEACH RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9977959527,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00113-2021,LIBERTY BEACH RESORT,Pangasinan,Bolinao,"Ilog Malino, Bolinao, Pangasinan",9055314058,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02872-2025,KURDAPIA RESORT,Pangasinan,Bolinao,"ESTANZA,BOLINAO, PANGASINAN",9996952608,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00829-2022,AMS BEACH RESORT,Pangasinan,Bolinao,"Purok 2, Ilogmalino, Bolinao, Pangasinan",9994225731,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02879-2025,USON BEACH RESORT,Pangasinan,Alaminos City,"Bolo II, Brgy. Pandan, Alaminos City, Pangasinan",0927 425 9966,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02884-2025,CRIS DEL MAR RESORT,Pangasinan,Bolinao,"CABATUAN STREET, LUCIENTE 1.0, BOLINAO, PANGASINAN",9187771583,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01048-2022,PEARLCASA RESORT,Pangasinan,Bolinao,"Patar Bolinao, Pangasinan",9383927181,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00983-2022,EF-MAR BEACH RESORT,Pangasinan,Dasol,"PUROK ILANG - ILANG, Macalang, Dasol, Pangasinan",9999905133,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01058-2022,INSON'S PLACE ROOM RENTAL,Pangasinan,Bolinao,"BRGY. PATAR, BOLINAO, PANGASINAN",9952528179,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-00488-2021,OSMEÑA BEACH RESORT,Pangasinan,Dasol,"Purok 2, Osmeña, Dasol, Pangasinan",9955506432,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-02250-2024,CASA DEL CAMBA HOTEL AND RESTAURANT,Pangasinan,Alaminos City,"San Jose Drive, Lucap, Alaminos City, Pangasinan","0756368065, 09477909186",,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03008-2025,AUSTRALASIA RESORT,Pangasinan,Bolinao,"BALINGASAY, BOLINAO, PANGASINAN",9602607986,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03014-2025,JP BAYBAY VIEW RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9219125953,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03017-2025,CAADIANG TRANSIENT HOUSE,Pangasinan,Anda,"Purok 3 Brgy. Tondol, Anda, Pangasinan",09674672891/09606231219,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01046-2022,NOE'S ARKO BEACH RESORT,Pangasinan,Bolinao,"Patar, Bolinao, Pangasinan",9178140674,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01071-2022,ZOHRA'S ROOM RENTAL,Pangasinan,Anda,"Purok 2, Tondol, Anda, Pangasinan",9274281789,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01042-2022,D' SIX L BEACH RESORT,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy., Ilio Ilio, Burgos, Pangasinan",9556081722,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03021-2025,ROVEN'S PLACE BEACH RESORT,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy., Ilio-Ilio, Burgos, Pangasinan",9279957606,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03035-2025,VILLA GARCIA BEACH HOUSE,Pangasinan,Anda,TONDOL ANDA PANGASINAN,9984559488,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03052-2025,AMIGO’S RESORT,Pangasinan,Anda,"purok 2, Tondol, Anda, Pangasinan",9984312787,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03053-2025,JULIT BAY VIEW BEACH HOUSE,Pangasinan,Dasol,Tambobong dasol pangasinan,9460852936,,"October 31, 2025"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03080-2025,ZILLA'S GUEST HOUSE,Pangasinan,Bolinao,"BALINGASAY, BOLINAO, PANGASINAN",9567887929,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-01577-2023,DE VERA'S RESORT,Pangasinan,Bolinao,"Purok 3, Ilogmalino, Bolinao, Pangasinan",9686815996,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03085-2025,DCD GOLDEN SANDS RESORT,Pangasinan,Bolinao,"golden sands resort, Patar, Bolinao, Pangasinan",9954201644,,"October 31, 2026"
Region 1,Mabuhay Accommodation,DOT-R01-MAB-03094-2025,BALAIVALENCIA BEACH HOUSE,Pangasinan,Bolinao,Patar Road Barangay Purok 3 Ilog Malino,9189497731,,"October 31, 2025"
Region 1,Resort,DOT-R01-RES-00566-2021,PANGIL BEACH RESORT,Ilocos Norte,Currimao,"Barangay 20, Pangil, Currimao, Ilocos Norte",(077) 600-4202,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01653-2023,AMICI RESORT HOTEL,Ilocos Norte,Laoag,"Brgy. No. 41, Balacad, Laoag City, Ilocos Norte",9088960808,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01208-2022,UKL EVER RESORT HOTEL,Ilocos Norte,Laoag,"Brgy. 46, Nalbo, Airport Road, Laoag City, Ilocos Norte",09084458117/09951973322,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00399-2021,"FORT ILOCANDIA LAND DEVELOPMENT CO., LTD",Ilocos Norte,Laoag,"Bgy. No. 37, Calayab, Laoag City, Ilocos Norte",0917 599 4863,https://fortilocandia.com.ph/,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01385-2022,"ALTA VISTA ILOCANDIA, INC",Ilocos Norte,Pagudpud,"Sitio Ayoyo, Brgy. Caparispisan, Pagudpud, Ilocos Norte",9173089084,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01268-2022,CASA VICTORIA RESORT AND RESTAURANT,Ilocos Norte,Pagudpud,"Sitio Del Mar, Brgy. Saud, Pagudpud, Ilocos Norte",09088696434/09175051462,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01362-2022,PANNZIAN BEACH AND MOUNTAIN RESORT,Ilocos Norte,Pagudpud,"Brgy. Pancian, Pagudpud, Ilocos Norte",09209520662/ 0286469020 /09088823992,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-01711-2023,PAOAY LAKE JLP RESORT,Ilocos Norte,Paoay,"National Highway, Brgy. Suba, Paoay, Ilocos Norte",9541882991,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00178-2021,BAN-AW RESORT,Ilocos Sur,Candon City,"Bagani Gabor, Candon City, Ilocos Sur",9177999181,http://www.banawresort.com,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00555-2021,ICHTHUS BEACH RESORT,Ilocos Sur,Magsingal,"Alangan, Magsingal, Ilocos Sur",9177777679,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00211-2021,OVEMAR RESORT HOTEL INC,Ilocos Sur,Santa Catalina,"Paratong, Santa Catalina, Ilocos Sur",09177990506/ 6042400,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00423-2021,VITALIS WHITESANDS,Ilocos Sur,Santiago,"Brgy. Sabangan, Santiago, Ilocos Sur",9778845527,http://vitaliswhitesands.com/,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-03005-2025,VITALIS VILLAS,Ilocos Sur,Santiago,"Brgy. Sabangan, Santiago, Ilocos Sur",9165522794,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00016-2020,C & A Paradiso Beach Resort,La Union,Aringay,Maryland,9276860249,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00500-2021,SUNSET GERMAN BEACH RESORT & RESTAURANT,La Union,San Juan,290 Kingfisher Ili - Norte San Juan La - Union,99179212420,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00020-2020,SAN LUIS DEL MAR,La Union,Bauang,"BACCUIT NORTE, BAUANG, LA UNION",09178507536 / (072) 607 9683,,"October 31, 2026"
Region 1,Resort,DOT-R01-RES-00054-2021,Villa Navarro Beach Resort.Village,La Union,Caba,"Santiago Norte, Caba, La Union",9175642513,,"October 31, 2026"
