Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01402-2025,TLSY Beach Front Resort,Davao del Norte,IGACOS,"Purok 3, Brgy. Camudud, Island Garden City of Samal, Davao del Norte",0919 0007221,tlsybeachresort@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00313-2022,YKG Hotel,Davao Oriental,Mati City,"Geralde Building, National Highway, Brgy. Dahican Mati City, Davao Oriental",0916 2679138,ykghotel@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00445-2022,Honey's Hotel and Restaurant,Davao Oriental,Mati City,"Purok Mapayapa, Brgy. Matiao, Mati City, Davao Oriental",0923 0818765,honeyshotelrestaurant@yahoo.com.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00221-2021,Heroben Hometel,Davao del Norte,Tagum City,"Heroben Compound, Osmeña Extension, Brgy. Magugpo West, Tagum City, Davao del Norte",(084) 655-6994,hometelheroben@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00348-2022,Castle Dreams Hotel,-,Davao City,"J. Saavedra, Brgy. Lizada, Toril, Davao City",(082) 327-8586,castledreamshotel@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00199-2021,Blaret Hometel,Davao Oriental,Baganga,"Blk. 5, Sto. Niño, Brgy. Lambajon, Baganga, Davao Oriental",0962 6825206,bebethvirgo@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00294-2021,Thirty Eight Hampton Suites,-,Davao City,"Lapu-Lapu St., Brgy 15-B Pob., Davao City",0917 1873838,hamptonsuitesdavao@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00376-2022,Davao Bamboo Sanctuary and Ecological Park,-,Davao City,"Purok 5, Barangay Malagos, Baguio District, Davao City",0917 6212652,davbamboosanctuaryandecopark@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01045-2024,My Hotel,-,Davao City,"San Pedro St., Brgy 2-A (Pob.), Davao City",(082) 222-2021,myhoteldavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01404-2025,Michigan Guest House,Davao Oriental,Baganga,"Purok Paglimasan, Brgy. Saoquegue, Baganga, Davao Oriental",0955 2462035,michiganguesthouse@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01056-2024,Daylight Inn,-,Davao City,"2/F 3S Realty Corp Bldg., San Pedro St., Davao City",0998 5679779,daylightinn@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00310-2022,Hotel Midori,-,Davao City,"Gov. Duterte St., Brgy. 3-A(Pob.), Davao City",082 327 6021,hotelmidoridavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01447-2025,Kris and Frans Inn,-,Davao City,"Ramos Bldg., TFC Sandawa Road, Brgy. Bucana, Davao City",0917 7777166,francislaurenceramos@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00328-2022,RMPC Beach Resort,Davao del Norte,IGACOS,"Purok 3, Brgy. Camudud, Island Garden City of Samal, Davao del Norte",0918 3708809,rmpcb@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01450-2025,LG Hotel,-,Davao City,"846 Vinzon St., Bo. Obrero, Brgy. 15-B (Pob.), Davao City",0981-690-7389,lghoteldavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00661-2023,Qi Xiang Business Inn,Davao de Oro,Nabunturan,"Purok 1, Sta Teresita Ave., Brgy. Poblacion, Nabunturan, Davao de Oro",0917 7199038,qxnabunturan@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01454-2025,Publikhaus Homestay,Davao del Norte,IGACOS,"Purok 7, Caliclic (Dangca-an), Island Garden City of Samal, Davao del Norte",0915 3375100,peraltaninapaula@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01455-2025,Hideaway Beach Resort,Davao del Norte,IGACOS,"Purok Pandan, Brgy. San Remigio, Kaputian District, Island Garden City of Samal, Davao del Norte",0962-928-2767,hideawaybeachresort08@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01460-2025,Hijo Resorts Davao,Davao del Norte,Tagum City,"Hijo Plantation, Brgy. Madaum, Tagum City, Davao del Norte",0919 9112150,legal@hijoresources.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01464-2025,Punta de Gloria Villas,Davao del Norte,IGACOS,"Purok 6 Sitio Ilihan, Brgy. Camudmud, Island Garden City of Samal, Davao del Norte",0916 5395533,puntadegloriaresort@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01467-2025,Hotel Esse,-,Davao City,"Brgy. 9-A, F. Torres St., Brgy. 9-A, Davao City",(082) 227-3773 / (082) 295-3485 / 09236386295,hotelessedavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01468-2025,Lispher Inn,-,Davao City,"13 Juna Avenue Juna Subdivision, Brgy. Matina Crossing, Davao City",(082) 299-1610,lispherinn@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01469-2025,Luxebridge Hotel,-,Davao City,"Purok 14 Unit 1 Hotelex Ma-a Road (Fronting Muslim Mosque) Brgy. Ma-a, Talomo District, Davao City",0995 2038012,admin@luxebridgehotel.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00213-2021,Langoyon Beach Resort,Davao Oriental,Baganga,"Purok Molave, Brgy. Baculin, Baganga, Davao Oriental",09270244712 / 09171198183,langoyon1974@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01477-2025,PLS Beach Resort,Davao del Norte,IGACOS,"Brgy. Sta Cruz, Talicud Island, Island Garden City of Samal, Davao del Norte",0920 9093181,roy@drilon.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01478-2025,Jardin De Señorita,Davao del Sur,Digos City,"Purok Bugak, Bacoco Kapatagan, Brgy. Kapatagan, Digos City, Davao del Sur",0970 9887732,jardindesenorita@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01479-2025,RCH Farm Resort,-,Davao City,"Purok 6 Along Tagurano Road, Brgy. Eden, Davao City",0919 5797186,carlvinceherrero@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01481-2025,Estella Beach'n Star Resort,Davao Oriental,Baganga,"Purok Molave, Brgy. Baculin, Baganga, Davao Oriental",0919 4219064,estellabnsr@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01484-2025,Citistar Hotel,Davao del Norte,Santo Tomas,"Purok 2-A, Brgy. Tibal-og, Santo Tomas, Davao del Norte",0970 2787971,jlpacctg2021@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01492-2025,Davao Persimmon Suites,-,Davao City,"Lot 58-A8 Rizal Ext., Brgy 38-D (Pob.), Davao City",0910 9475682,mertorodolfo@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00470-2022,The Royale House Hotel & Dormitel,Davao del Norte,Tagum City,"Malinawon 2 Briz, Brgy. Magugpo East, Tagum City, Davao del Norte",0970 9896093,royalehousetagum@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01500-2025,The World Palace Business Center,-,Davao City,"Acacia St. Juna Subd.Matina, Brgy. Bucana, Davao City",(082) 235 4613,worldpalaceinquiry@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00182-2021,Yellowpad,-,Davao City,"Lot 11 D7, Tulip Drive, Brgy. Matina Crossing, Davao City",0918 6362778,jeni_casuga@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00219-2021,Sampaguita Tourist Inn,-,Davao City,"Camus St. Cor. Quirino Ave., Brgy 7-A, Davao City",0917 7190794,sampaguitahometeldavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00667-2023,Las Casitas de Angela Hotel,-,Davao City,"#510 Garduque Bldg., Loyola St., Bo. Obrero, Brgy 18-B, Davao City",0908 8120826,casitasdeangela@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01509-2025,Snooze Inn and Suites,-,Davao City,"#77 Snooze Inn and Suites Bldg., McArthur Highway, Brgy. Matina Crossing, Davao City",0917 1423117,hr.wyvernventuresinc@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01510-2025,Playa del Rosario Resort,Davao Oriental,Baganga,"Bobon, Brgy. Salingcomot, Baganga, Davao Oriental",0917 7171615,deanna@playadelrosario.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01512-2025,Frances Inn,-,Davao City,"Quimpo Boulevard, Ecoland, Brgy. Bucana, Davao City",0926 6814485,francesinn2023@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01513-2025,Madonna Hometel & Suites New Pandan,Davao del Norte,Panabo City,"Purok Alaska, Quezon Street, Brgy. New Pandan (Pob.), Panabo City, Davao del Norte",0922 8456209,meds_ursos@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01514-2025,Citistyle Inn,-,Davao City,"Jasmin St. Purok 7, Brgy. Ubalde, Davao City",0932 6797727,citistyleinndavao@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01516-2025,Tower Inn,-,Davao City,"E. Quirino Avenue, Brgy. 7-A (Pob.), Davao City",(082) 221-1099 / 0995 6136458,towerinnsales.dvo@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01517-2025,Loleng's Mountain Resort,-,Davao City,"Eden-Bayabas, Toril, Davao City",(082) 221-1099 | 0995-834-6509,almirasalutillo@umindanao.edu.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00242-2021,Sampaguita Tourist Inn,-,Davao City,"Mt. Mayon St., Barangay 7-A (Pob.), Davao City",0917 7190794,abelladacudao20@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01521-2025,Bajada Suites OPC,-,Davao City,"Ebgum Bldg. J.P. Laurel Ave. Bajada, Brgy.18-B Pob., Davao City",0975 2367500,bajadasuites@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00034-2020,Red Knight Gardens,-,Davao City,"8th street, Guadalupe Village, Lanang, Brgy. Alfonso Angliongto Sr., Davao City",(082) 233 0618,redknightgardensdavao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00028-2020,Qanaq Hotel,-,Davao City,"B. E. Squared Bldg. Km3 MacArthur Highway, Matina, Davao City",0923 9107391,qanaqhotel@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00014-2020,Madonna Hometel & Suites,Davao del Norte,Panabo City,"Quezon Street, Brgy. Santo Niño, Panabo City, Davao del Norte",0922 8456209,madonna.suites@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00515-2022,Hotel Uno,-,Davao City,"CM Recto St., Brgy. 34-D Pob., Davao City",0917 6820051,hotelunodavao@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01539-2025,Jillux Lodging Beach Resort,Davao Oriental,Baganga,"Block 4, Brgy. Lambajon, Baganga, Davao Oriental",0997 3643100,Jilluxbeachresort@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01538-2025,Moonlit Baganga Beach Resort,Davao Oriental,Baganga,"Sitio Mabua, National Highway, Brgy. Saoquegue, Baganga, Davao Oriental",0966 5440880,lfaithpharmacy@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01537-2025,Agostos Suites,-,Davao City,"174-A Santo Niño, Dumanlas, Brgy. Buhangin (Pob.), Davao City",0912 0745050,solisjollypearl@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00071-2021,First Pacific Inn,-,Davao City,"498 Quirino Ave., Brgy. 9-A (Pob.), Davao City",0922 8259173,firstpacificinndavaofrontdesk@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01047-2024,Deck 360 Inn,-,Davao City,"Lot 24-25 Blk 27 Circumferential Road, Garcia Heights, Brgy. 19-B (Pob.), Davao City",(082) 287 6946,krrllproperties@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01548-2025,Coral Dive Beach Resort,Davao de Oro,Mabini,"Purok 17, Brgy. Tagnanan (Mampising), Mabini, Davao de Oro",0908 8646376,coral_dive_Tagnanan@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01551-2025,RGB Tourist Inn,Davao del Norte,Kapalong,"Prk.6 Magsaysay Street, Brgy. Maniki (Poblacion), Kapalong, Davao del Norte",0917 7210320,rgb_enterprise@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01055-2024,Primo Whitesand Beach Resort,Davao Oriental,Baganga,"Block 9, Brgy. Lambajon, Baganga, Davao Oriental",0905 0996499,primowhitesandbeachresort@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01557-2025,Davao Hub Dormitelle,-,Davao City,"General Luna St., Barangay 7-A (Pob.), Davao City",0920 9254699,davaohub1@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00406-2022,D' Japanese Tunnel Family Resort and Restaurant,-,Davao City,"Hillcrest Subd., Balusong Ext., Brgy. Matina Crossing, Davao City",0962 7616620,djapanesetunnelfamilyresort@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01571-2025,Eagle's Nest Beach Resort,Davao del Norte,IGACOS,"Purok 3, Brgy. Balet, Babak, Island Garden City of Samal, Davao del Norte",0946-1324728,davaotropical@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01575-2025,Cavanico IL Mare Resort,Davao del Norte,IGACOS,"Brgy. Camudmud, Island Garden City of Samal, Davao del Norte",0963 2693379,cavanicohrmd@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00283-2021,Grand Amber Country Inn,-,Davao City,"San Jose St., Km 7 Lanang, Brgy. Alfonso Angliongto Sr., Davao City",082 2345622,grandambercountryinn@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01588-2025,Mergrande Ocean Resort,-,Davao City,"Purok 17 Bliss, Brgy. Bago Aplaya, Davao City",(082) 298 4100,mergrande_oceanresort@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01548-2025,Coral Dive Beach Resort,Davao de Oro,Mabini,"Purok 17, Brgy. Tagnanan (Mampising), Mabini, Davao de Oro",0908 8646376,coral_dive_Tagnanan@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01592-2025,Casa Julieta,-,Davao City,"Kasoy St., Juna Subd., Matina Crossing, Davao City",0926 0482848,aln3brosincorp@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01422-2025,WL Condominium Unit Rental,-,Davao City,"Unit 519, Martel Bldg., Verdon Parc, Peacock St. corner Ecoland Drive, Bucana, Davao City",0919 0011907,kwodruman@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01424-2025,RK Condo Unit Rental,-,Davao City,"Unit 4-526, 8 Spatial Condominium, Don Julian Rodriguez Ave., Maa, Talomo, Davao City",0916 4157064,rkoyr@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01425-2025,Jazzhy Condo Unit Rental,-,Davao City,"Unit 8634, Floor 6, Bdlg 8, 8 Spatial Condo, Don Julian Rodriguez Ave., Ma-a Road, Davao City",0928 3857947,ruby_cns@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01428-2025,Cozy Nook Condotel,-,Davao City,"Unit 419, Bldg A, Centro Spatial, Bolton Ext., Brgy 39-D, Davao City",0910 6833836,cozynookcondotel@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01434-2025,Sha Condo Unit Rental,-,Davao City,"Unit 805, Bldg A, Centro Spatial, Bolton Ext., Brgy 39-D, Davao City",09106833836; +818048881683,shacondounitrental@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01445-2025,Alte Condo Unit Rental,-,Davao City,"Bldg 1 Flr. 1 Unit 121, One Oasis Davao Bldg, Ecowest Drive, Ecoland, Davao City",0905 8459929,alisontes@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01446-2025,Herbie Ann's Condo Unit Rental,-,Davao City,"Unit328 Bldg A, Centro Spatial, Bolton Ext., Brgy 39-D, Davao City",0933 8249920,herbieann.hawtay@unc.edu.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01457-2025,LLG Condotel,-,Davao City,"Unit UA810, 8th Flr., Centro Spatial, Bolton Ext., Brgy 39-D, Davao City",0945 5049778,lewelynnavarro@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01459-2025,Yacob Condo Unit Rental,-,Davao City,"Unit 608, 8 Spatial Condominium, Don Julian Rodriguez Ave., Maa, Talomo, Davao City",0985 1475237,lamerajoseph289@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01466-2025,KVista Condotel,-,Davao City,"Unit 4405, 8 Spatial Condominium, Don Julian Rodriguez Ave., Maa, Talomo, Davao City",0961 1210392,purak2389@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01473-2025,FRANCEMELLE Real Property Leasing,-,Davao City,"Unit 1803 Inspiria Condominium, JP Laurel Ave., Bajada, Davao City",0917 5940203,francemelle_realpropertyleasing@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01495-2025,Reeka-Hometel,-,Davao City,"Unit 330 Building 4 One Oasis Condo, Ecowest Drive,Ecoland, Brgy. Bucana, Davao City",0933 055670,wilfmel.c09@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01496-2025,Reeka-Hometel,-,Davao City,"Unit206 Building3 One Oasis Condo, Ecowest Drive, Ecoland, Brgy. Bucana, Davao City",0933 0556270,cwilfmel@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01491-2025,Nomad Escapes & Sanctuaries OPC,-,Davao City,"01 Bambulaklak, BLK24 LOT18, Fuji St., Bambu Estate, Brgy. Santo Niño, Davao City",0921 5222540,nomad.escapes@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01487-2025,Shiawase Utopia 2 Apartment Rental,-,Davao City,"Unit 522 Bldg. 4 One Oasis Condominium, Ecoland, Brgy. Bucana, Davao City",0908 9104848,celinegomsan17@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01488-2025,JC Euros COndotel,-,Davao City,"BLDG 4 Unit 414 One Oasis Condominium Ecoland, Brgy. Bucana, Davao City",0970 5509370,urotjaketel@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01518-2025,Apartelle D' Isabelle Condotels,-,Davao City,"Bldg 1, Unit 122, 8 Spatial Condominium, Brgy. Ma-a, Davao City",0985 1475237,elmercartagena184@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01526-2025,Notre Maison Property Leasing,-,Davao City,"No. 3315 One Oasis Condominium Ecoland, Brgy. Bucana, Davao City",0939 9055344,jennybayer82@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01529-2025,Elysy Condo Unit Rental,-,Davao City,"Unit 3405 Bldg. 3, 8 Spatial Condominium, Brgy. Ma-a, Davao City",0985 1475237,glen_mira24@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01536-2025,Lanante Condo Unit Rental,-,Davao City,"8 Spatial Bldg., 8 Floor 4, Unit 8420, Brgy. Ma-a, Davao City",0905 9538953,lanantecindy@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01583-2025,Winter's Condotels,-,Davao City,"UB527 Centro Spatial Davao, Brgy. 39-D, Davao City",0976 0920110,richtone.hangad@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01594-2025,RL Condo Unit Rental,-,Davao City,"Bldg. 8, 4Flr, Rm.8419, 8 Spatial Condominium, Brgy. Ma-a,Davao City",0932 1715170,piqueroleona@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01598-2025,Leo's Condo Unit Rental,-,Davao City,"Bldg. 4, 5f, Rm.4506 8 Spatial Condominium, Brgy. Maa, Talomo District, Davao City",0918 4438978,mahloupiquero@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00017-2020,Costa Marina Beach Resort,Davao del Norte,IGACOS,"Purok 7, Brgy Limao, Island Garden City of Samal, Davao del Norte",0917 7958372,costamarinabeachresort@yahoo.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00015-2020,Paradise Island Park and Beach Resort,Davao del Norte,IGACOS,"Purok 2, Brgy. Caliclic, Island Garden City of Samal, Davao del Norte",(082) 234-1229 / (082)233-0251,paradiseislanddavao@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01052-2024,Holiday Oceanview Beach Resort,Davao del Norte,IGACOS,"Purok 3 Brgy Camudmud, Island Garden City of Samal, Davao del Norte",0956 6939450,oceanviewhov@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00268-2021,Pearl Farm Beach Resort,Davao del Norte,IGACOS,"Brgy Adecor, Kaputian, Island Garden City of Samal, Davao del Norte",(082) 285-06-01 / 285-08-76,"msbravo@anflocor.com, rccarbonilla@gmail.com",10/31/2026
Region 11,Resort,DOT-R11-RES-00307-2022,Villa Amparo Garden Beach Resort,Davao del Norte,IGACOS,"Purok 6 Sitio Dasag Brgy Camudmud, Island Garden City of Samal, Davao del Norte",0956 4195787,villaamparoleisure@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00011-2020,Buenavista Island Resort,Davao del Norte,IGACOS,"Purok 1-B, Brgy Balet, Island Garden City of Samal, Davao del Norte",0939 2913373,buenavista.island@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00003-2020,Eden Mountain Resort,-,Davao City,"Brgy Eden, Toril, Davao City",0905 2679069,edennatureparkdavao@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00061-2021,Club Samal Resorts Development Inc.,Davao del Norte,IGACOS,"Brgy. Caliclic, Babak District, Island Garden City of Samal, Davao del Norte",0917 6341737,clubsamal.hrd@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00012-2020,Hof Gorei Beach Resort,Davao del Norte,IGACOS,"Purok 7, Brgy. Adecor, Island Garden City of Samal, Davao del Norte",0917 7113868,hofgoreiresortdavao@yahoo.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00314-2022,Camp Holiday Resort and Recreation Area,Davao del Norte,IGACOS,"Brgy. Kinawitnon, Babak, Island Garden City of Samal",0917 1028835,campholidayresort@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01420-2025,Discovery Samal,Davao del Norte,IGACOS,"Purok 5, Brgy. Limao, Samal District, Island Garden City of Samal",(084) 308 2998,loreta.jabilles@discoverysamal.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01462-2025,Costa Azalea,Davao del Norte,IGACOS,"Purok 5, Brgy. Limao, Island Garden City of Samal, Davao del Norte",0919 0613265,gs.costaazalea@millennial-resorts.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01480-2025,Chema's by the Sea,Davao del Norte,IGACOS,"Purok 5, Brgy. Limao, Island Garden City of Samal, Davao del Norte",09177235652 / 09177243627,jason.lim@chemasbythesea.com.ph,10/31/2026
Region 11,Resort,DOT-R11-RES-01497-2025,Stream Valley Nature's Park,Davao del Norte,IGACOS,"Purok 1 Brgy Cawag, Samal District, Island Garden City of Samal, Davao del Norte",0917 1497969,virtuquest.corp@yahoo.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01511-2025,Dusit Thani Lubi Plantation Resort,Davao de Oro,Mabini,"Kopiat Island, Brgy. Pindasan, Mabini, Davao De Oro",0906 5876506,events.executive@dusit.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00746-2023,Catigan Mountain Breeze Resort,-,Davao City,"Purok 11 Angeles, Brgy. Catigan, Toril, Davao City",0917 7270011,catiganmountainbreeze@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00461-2022,Malagos Garden Resort,-,Davao City,"Brgy. Malagos, Baguio District., Davao City",0917 6252467,compliance.malagosgardenresort@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-01097-2024,D' Leonor Inland Resort & Adventure Park,-,Davao City,"Purok 5 Brgy. Communal, Buhangin District, Davao City",(082) 221 1160,dleonorinlandresortadpark2023@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00265-2021,Leticia by the Sea,Davao del Norte,IGACOS,"Brgy. Santa Cruz, Island Garden City of Samal, Davao del Norte",0970 2244239,leticia.bt.sea@gmail.com,10/31/2026
Region 11,Resort,DOT-R11-RES-00662-2023,Montefrio Garden Resort,Davao del Sur,Digos City,"Sitio Mainit, Brgy. Kapatagan (Rizal), Digos City, Davao del Sur",0998 5799838,mfgrfrontoffice@gmail.com,10/31/2026
Region 11,Travel Agency,DOT-R11-TRA-00122-2021,Vitor Tours and Travel,-,Davao City,"3rd Floor SM City Davao, Ecoland, Brgy Bucana, Davao City",082 2965286,vitortours@yahoo.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00123-2021,Vitor Tours and Travel,-,Davao City,Lower G/F SM lanang Premier JP laurel Ave. Badaja Davao City,082-2974185,vitortoursandtravel@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00166-2021,"Rakso Air Travel & Tours, Inc.",-,Davao City,"111B-112 Robinsons Cybergate Davao, JP Laurel Ave Bajada, Davao City",09173210543 / 09564262473,m.repolles@raksoair.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00084-2021,Okey Travel and Tours,Davao del Norte,Tagum City,"3F NCCC Mall, Km. 55, National Highway, Magugpo East, Tagum City, Davao del Norte",(084) 655-0214,oktcmain@yahoo.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00248-2021,Luke John Ticketing Services and Payment Center,-,Davao City,"Purok 5 Sampaguita Street Brgy. Mintal, Tugbok District, Davao City",0906 3035371,lukejohntravelandtours@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00463-2022,"Discovery Tour, Inc.",-,Davao City,"G/F Door 109-110 Quimpo Boulevard Ecoland, Davao City",0917 7290802,acctgdvo@discoverytour.ph,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00354-2022,Southship Tours and Travel,-,Davao City,"725 F. Torres St., Davao City",228-6946,southshiptours@yahoo.com,"June 30, 2026"
